gene	count
hsa-let-7a-5p	26
hsa-let-7b-5p	53
hsa-let-7c-5p	2
hsa-let-7d-5p	15
hsa-let-7d-3p	5
hsa-let-7f-5p	15
hsa-miR-15a-5p	11
hsa-miR-16-5p	1957
hsa-miR-17-5p	15
hsa-miR-17-3p	8
hsa-miR-18a-5p	15
hsa-miR-18a-3p	4
hsa-miR-19a-3p	103
hsa-miR-19b-1-5p	3
hsa-miR-19b-3p	357
hsa-miR-20a-5p	47
hsa-miR-21-5p	348
hsa-miR-22-5p	3
hsa-miR-22-3p	1705
hsa-miR-23a-5p	3
hsa-miR-23a-3p	138
hsa-miR-24-3p	126
hsa-miR-25-5p	4
hsa-miR-25-3p	593
hsa-miR-26a-5p	87
hsa-miR-26b-5p	48
hsa-miR-26b-3p	1
hsa-miR-27a-3p	22
hsa-miR-28-5p	1
hsa-miR-28-3p	31
hsa-miR-29a-5p	1
hsa-miR-29a-3p	81
hsa-miR-30a-5p	61
hsa-miR-31-5p	3
hsa-miR-32-5p	6
hsa-miR-33a-5p	7
hsa-miR-92a-3p	1776
hsa-miR-93-5p	1260
hsa-miR-93-3p	7
hsa-miR-96-5p	9
hsa-miR-99a-5p	28
hsa-miR-100-5p	2
hsa-miR-101-3p	90
hsa-miR-29b-3p	11
hsa-miR-103a-2-5p	1
hsa-miR-103a-3p	147
hsa-miR-103a-1-5p	1
hsa-miR-106a-5p	1
hsa-miR-107	1
hsa-miR-192-5p	115
hsa-miR-197-3p	18
hsa-miR-199a-5p	9
hsa-miR-148a-5p	6
hsa-miR-148a-3p	305
hsa-miR-30c-5p	4
hsa-miR-30d-5p	175
hsa-miR-139-3p	28
hsa-miR-7-5p	45
hsa-miR-10a-5p	4
hsa-miR-10a-3p	1
hsa-miR-10b-5p	15
hsa-miR-10b-3p	2
hsa-miR-34a-5p	25
hsa-miR-181a-5p	308
hsa-miR-181a-2-3p	3
hsa-miR-181b-5p	18
hsa-miR-182-5p	2
hsa-miR-199b-5p	1
hsa-miR-204-3p	1
hsa-miR-205-5p	37
hsa-miR-210-3p	41
hsa-miR-211-5p	1
hsa-miR-181a-3p	8
hsa-miR-214-3p	1
hsa-miR-215-5p	2
hsa-miR-216a-3p	2
hsa-miR-221-3p	927
hsa-miR-222-3p	47
hsa-miR-223-3p	410
hsa-miR-224-5p	4
hsa-let-7g-5p	30
hsa-let-7g-3p	1
hsa-let-7i-5p	522
hsa-let-7i-3p	5
hsa-miR-15b-5p	15
hsa-miR-15b-3p	5
hsa-miR-23b-3p	3
hsa-miR-27b-3p	29
hsa-miR-30b-5p	1
hsa-miR-122-5p	4832
hsa-miR-125b-5p	116
hsa-miR-128-3p	24
hsa-miR-130a-3p	10
hsa-miR-133a-3p	2
hsa-miR-137-3p	1
hsa-miR-138-5p	1
hsa-miR-140-5p	52
hsa-miR-140-3p	29
hsa-miR-141-3p	24
hsa-miR-142-5p	223
hsa-miR-142-3p	303
hsa-miR-143-5p	18
hsa-miR-143-3p	132
hsa-miR-144-5p	4
hsa-miR-144-3p	322
hsa-miR-145-5p	18
hsa-miR-145-3p	4
hsa-miR-152-3p	19
hsa-miR-153-3p	1
hsa-miR-191-5p	117
hsa-miR-191-3p	6
hsa-miR-125a-5p	206
hsa-miR-126-5p	52
hsa-miR-126-3p	262
hsa-miR-127-3p	48
hsa-miR-134-5p	46
hsa-miR-136-5p	4
hsa-miR-136-3p	8
hsa-miR-146a-5p	726
hsa-miR-150-5p	75
hsa-miR-150-3p	4
hsa-miR-185-5p	1344
hsa-miR-185-3p	25
hsa-miR-186-5p	461
hsa-miR-186-3p	2
hsa-miR-190a-5p	24
hsa-miR-193a-5p	183
hsa-miR-194-5p	31
hsa-miR-206	2
hsa-miR-320a-3p	1363
hsa-miR-155-5p	9
hsa-miR-106b-5p	26
hsa-miR-106b-3p	64
hsa-miR-29c-5p	9
hsa-miR-29c-3p	275
hsa-miR-30c-1-3p	1
hsa-miR-200a-3p	6
hsa-miR-101-2-5p	2
hsa-miR-34c-3p	1
hsa-miR-301a-3p	4
hsa-miR-99b-5p	5
hsa-miR-296-5p	6
hsa-miR-130b-3p	2
hsa-miR-30e-5p	129
hsa-miR-30e-3p	2
hsa-miR-361-5p	21
hsa-miR-361-3p	24
hsa-miR-362-5p	4
hsa-miR-363-3p	82
hsa-miR-376c-3p	6
hsa-miR-370-3p	10
hsa-miR-374a-5p	4
hsa-miR-375-3p	70
hsa-miR-377-3p	3
hsa-miR-378a-5p	6
hsa-miR-378a-3p	647
hsa-miR-379-5p	2
hsa-miR-381-3p	10
hsa-miR-382-5p	50
hsa-miR-340-5p	7
hsa-miR-330-5p	1
hsa-miR-330-3p	1
hsa-miR-328-3p	74
hsa-miR-342-3p	106
hsa-miR-337-5p	6
hsa-miR-151a-5p	2
hsa-miR-151a-3p	144
hsa-miR-148b-3p	200
hsa-miR-331-3p	2
hsa-miR-324-5p	18
hsa-miR-324-3p	11
hsa-miR-338-3p	9
hsa-miR-339-5p	56
hsa-miR-339-3p	28
hsa-miR-335-5p	4
hsa-miR-345-5p	12
hsa-miR-196b-5p	17
hsa-miR-423-5p	1918
hsa-miR-423-3p	194
hsa-miR-424-3p	3
hsa-miR-425-5p	430
hsa-miR-425-3p	9
hsa-miR-18b-5p	1
hsa-miR-20b-5p	16
hsa-miR-431-5p	16
hsa-miR-329-3p	1
hsa-miR-451a	1186
hsa-miR-409-5p	1
hsa-miR-409-3p	16
hsa-miR-376b-3p	1
hsa-miR-483-5p	320
hsa-miR-483-3p	4
hsa-miR-484	130
hsa-miR-485-3p	4
hsa-miR-486-5p	4991
hsa-miR-486-3p	28
hsa-miR-490-3p	2
hsa-miR-491-5p	10
hsa-miR-146b-5p	6
hsa-miR-146b-3p	5
hsa-miR-493-3p	1
hsa-miR-432-5p	1
hsa-miR-193b-5p	19
hsa-miR-193b-3p	4
hsa-miR-497-5p	1
hsa-miR-181d-5p	1
hsa-miR-500a-3p	2
hsa-miR-501-3p	24
hsa-miR-502-3p	5
hsa-miR-503-5p	3
hsa-miR-505-3p	8
hsa-miR-514a-3p	2
hsa-miR-532-5p	25
hsa-miR-532-3p	1
hsa-miR-455-5p	1
hsa-miR-92b-5p	7
hsa-miR-92b-3p	7
hsa-miR-574-3p	4
hsa-miR-576-5p	4
hsa-miR-576-3p	6
hsa-miR-579-5p	1
hsa-miR-582-3p	5
hsa-miR-584-5p	55
hsa-miR-589-5p	2
hsa-miR-589-3p	2
