gene	count
hsa-let-7a-5p	10468
hsa-let-7b-5p	9808
hsa-let-7c-5p	334
hsa-let-7d-5p	619
hsa-let-7d-3p	26
hsa-let-7e-5p	49
hsa-let-7f-5p	4456
hsa-miR-15a-5p	153
hsa-miR-16-5p	156838
hsa-miR-17-5p	94
hsa-miR-17-3p	5
hsa-miR-18a-5p	19
hsa-miR-18a-3p	3
hsa-miR-19a-3p	34
hsa-miR-19b-1-5p	2
hsa-miR-19b-3p	130
hsa-miR-20a-5p	158
hsa-miR-21-5p	2121
hsa-miR-22-5p	1
hsa-miR-22-3p	229
hsa-miR-23a-3p	154
hsa-miR-24-3p	195
hsa-miR-25-3p	1882
hsa-miR-26a-5p	2218
hsa-miR-26b-5p	1715
hsa-miR-26b-3p	4
hsa-miR-27a-5p	1
hsa-miR-27a-3p	40
hsa-miR-28-3p	33
hsa-miR-29a-3p	219
hsa-miR-30a-5p	81
hsa-miR-30a-3p	2
hsa-miR-32-5p	42
hsa-miR-33a-5p	5
hsa-miR-92a-1-5p	1
hsa-miR-92a-3p	4953
hsa-miR-93-5p	2062
hsa-miR-95-3p	14
hsa-miR-96-5p	23
hsa-miR-98-5p	53
hsa-miR-99a-5p	5
hsa-miR-100-5p	2
hsa-miR-101-3p	300
hsa-miR-29b-3p	58
hsa-miR-29b-2-5p	1
hsa-miR-103a-3p	900
hsa-miR-106a-5p	2
hsa-miR-107	3
hsa-miR-192-5p	329
hsa-miR-197-5p	1
hsa-miR-197-3p	13
hsa-miR-199a-5p	11
hsa-miR-148a-3p	2157
hsa-miR-30c-5p	21
hsa-miR-30d-5p	355
hsa-miR-30d-3p	1
hsa-miR-139-5p	8
hsa-miR-139-3p	11
hsa-miR-7-5p	277
hsa-miR-10a-5p	62
hsa-miR-10b-5p	87
hsa-miR-10b-3p	1
hsa-miR-34a-5p	41
hsa-miR-181a-5p	206
hsa-miR-181a-2-3p	3
hsa-miR-181b-5p	38
hsa-miR-181c-5p	4
hsa-miR-182-5p	438
hsa-miR-183-5p	109
hsa-miR-199b-5p	2
hsa-miR-203a-3p	1
hsa-miR-204-5p	1
hsa-miR-205-5p	8
hsa-miR-210-3p	6
hsa-miR-181a-3p	5
hsa-miR-215-5p	11
hsa-miR-218-5p	2
hsa-miR-221-3p	344
hsa-miR-222-3p	23
hsa-miR-223-5p	7
hsa-miR-223-3p	1289
hsa-miR-224-5p	14
hsa-miR-200b-3p	2
hsa-let-7g-5p	896
hsa-let-7i-5p	11873
hsa-let-7i-3p	3
hsa-miR-1-3p	10
hsa-miR-15b-5p	220
hsa-miR-15b-3p	2
hsa-miR-23b-5p	3
hsa-miR-23b-3p	28
hsa-miR-27b-3p	211
hsa-miR-122-5p	39338
hsa-miR-124-3p	1
hsa-miR-125b-5p	175
hsa-miR-125b-1-3p	1
hsa-miR-128-3p	56
hsa-miR-130a-3p	22
hsa-miR-135a-5p	2
hsa-miR-140-5p	75
hsa-miR-140-3p	30
hsa-miR-141-3p	51
hsa-miR-142-5p	232
hsa-miR-142-3p	1760
hsa-miR-143-5p	2
hsa-miR-143-3p	250
hsa-miR-144-5p	46
hsa-miR-144-3p	228
hsa-miR-145-5p	4
hsa-miR-152-3p	18
hsa-miR-191-5p	240
hsa-miR-191-3p	2
hsa-miR-9-5p	170
hsa-miR-125a-5p	272
hsa-miR-126-5p	500
hsa-miR-126-3p	5453
hsa-miR-127-3p	3
hsa-miR-134-5p	12
hsa-miR-146a-5p	735
hsa-miR-146a-3p	3
hsa-miR-149-5p	2
hsa-miR-150-5p	307
hsa-miR-150-3p	1
hsa-miR-184	156
hsa-miR-185-5p	502
hsa-miR-185-3p	4
hsa-miR-186-5p	202
hsa-miR-190a-5p	131
hsa-miR-193a-5p	82
hsa-miR-194-5p	130
hsa-miR-195-5p	3
hsa-miR-195-3p	1
hsa-miR-206	7
hsa-miR-320a-3p	280
hsa-miR-200c-3p	13
hsa-miR-155-5p	92
hsa-miR-194-3p	2
hsa-miR-106b-5p	11
hsa-miR-106b-3p	112
hsa-miR-29c-3p	391
hsa-miR-200a-3p	6
hsa-miR-101-2-5p	2
hsa-miR-301a-3p	6
hsa-miR-99b-5p	21
hsa-miR-99b-3p	1
hsa-miR-296-5p	10
hsa-miR-130b-3p	8
hsa-miR-30e-5p	235
hsa-miR-30e-3p	9
hsa-miR-361-5p	32
hsa-miR-361-3p	22
hsa-miR-362-3p	1
hsa-miR-363-3p	217
hsa-miR-369-5p	3
hsa-miR-370-3p	6
hsa-miR-374a-5p	21
hsa-miR-374a-3p	1
hsa-miR-375-3p	75
hsa-miR-378a-5p	2
hsa-miR-378a-3p	62
hsa-miR-379-5p	4
hsa-miR-381-3p	11
hsa-miR-382-5p	18
hsa-miR-340-5p	33
hsa-miR-328-3p	38
hsa-miR-342-5p	1
hsa-miR-342-3p	309
hsa-miR-337-5p	2
hsa-miR-151a-5p	14
hsa-miR-151a-3p	238
hsa-miR-148b-3p	211
hsa-miR-331-3p	3
hsa-miR-324-5p	32
hsa-miR-324-3p	6
hsa-miR-338-3p	7
hsa-miR-339-5p	12
hsa-miR-339-3p	5
hsa-miR-335-5p	19
hsa-miR-345-5p	2
hsa-miR-196b-5p	118
hsa-miR-423-5p	2729
hsa-miR-423-3p	58
hsa-miR-424-5p	18
hsa-miR-425-5p	413
hsa-miR-425-3p	4
hsa-miR-20b-5p	58
hsa-miR-429	3
hsa-miR-431-5p	14
hsa-miR-451a	2525
hsa-miR-409-3p	25
hsa-miR-483-5p	118
hsa-miR-483-3p	7
hsa-miR-484	70
hsa-miR-485-3p	1
hsa-miR-486-5p	18124
hsa-miR-486-3p	34
hsa-miR-146b-5p	19
hsa-miR-432-5p	42
hsa-miR-193b-5p	18
hsa-miR-497-5p	1
hsa-miR-181d-5p	1
hsa-miR-500a-5p	1
hsa-miR-500a-3p	5
hsa-miR-501-3p	10
hsa-miR-502-3p	3
hsa-miR-505-5p	3
hsa-miR-505-3p	3
hsa-miR-509-3p	1
hsa-miR-532-5p	28
hsa-miR-532-3p	9
hsa-miR-545-3p	2
hsa-miR-92b-5p	2
hsa-miR-92b-3p	12
hsa-miR-561-5p	1
hsa-miR-570-3p	3
hsa-miR-574-3p	14
hsa-miR-576-5p	13
hsa-miR-579-3p	1
hsa-miR-581	1
hsa-miR-584-5p	80
hsa-miR-548a-3p	2
hsa-miR-589-5p	1
hsa-miR-550a-3p	1
hsa-miR-590-3p	3
