gene	count
hsa-let-7a-5p	568
hsa-let-7a-3p	5
hsa-let-7b-5p	2648
hsa-let-7b-3p	4
hsa-let-7c-5p	28
hsa-let-7d-5p	543
hsa-let-7d-3p	48
hsa-let-7e-5p	13
hsa-let-7e-3p	1
hsa-let-7f-5p	230
hsa-miR-15a-5p	332
hsa-miR-15a-3p	1
hsa-miR-16-5p	41393
hsa-miR-16-1-3p	11
hsa-miR-17-5p	312
hsa-miR-17-3p	69
hsa-miR-18a-5p	111
hsa-miR-18a-3p	60
hsa-miR-19a-3p	427
hsa-miR-19b-3p	1936
hsa-miR-20a-5p	395
hsa-miR-21-5p	1838
hsa-miR-21-3p	9
hsa-miR-22-5p	26
hsa-miR-22-3p	4603
hsa-miR-23a-5p	10
hsa-miR-23a-3p	855
hsa-miR-24-3p	500
hsa-miR-25-5p	13
hsa-miR-25-3p	2710
hsa-miR-26a-5p	1193
hsa-miR-26a-1-3p	1
hsa-miR-26b-5p	1909
hsa-miR-27a-5p	4
hsa-miR-27a-3p	143
hsa-miR-28-5p	3
hsa-miR-28-3p	85
hsa-miR-29a-5p	12
hsa-miR-29a-3p	267
hsa-miR-30a-5p	116
hsa-miR-30a-3p	3
hsa-miR-31-5p	2
hsa-miR-32-5p	42
hsa-miR-33a-5p	26
hsa-miR-92a-1-5p	1
hsa-miR-92a-3p	8752
hsa-miR-93-5p	8165
hsa-miR-93-3p	38
hsa-miR-95-3p	8
hsa-miR-96-5p	76
hsa-miR-98-5p	9
hsa-miR-99a-5p	82
hsa-miR-100-5p	6
hsa-miR-101-5p	1
hsa-miR-101-3p	856
hsa-miR-29b-3p	111
hsa-miR-29b-2-5p	9
hsa-miR-103a-2-5p	1
hsa-miR-103a-3p	2391
hsa-miR-106a-5p	8
hsa-miR-107	5
hsa-miR-16-2-3p	5
hsa-miR-192-5p	551
hsa-miR-192-3p	1
hsa-miR-197-5p	2
hsa-miR-197-3p	96
hsa-miR-199a-5p	61
hsa-miR-208a-3p	1
hsa-miR-129-5p	1
hsa-miR-129-1-3p	1
hsa-miR-148a-5p	10
hsa-miR-148a-3p	2365
hsa-miR-30c-5p	63
hsa-miR-30d-5p	771
hsa-miR-30d-3p	2
hsa-miR-139-5p	6
hsa-miR-139-3p	42
hsa-miR-7-5p	348
hsa-miR-10a-5p	16
hsa-miR-10b-5p	54
hsa-miR-10b-3p	5
hsa-miR-34a-5p	31
hsa-miR-181a-5p	1156
hsa-miR-181a-2-3p	17
hsa-miR-181b-5p	77
hsa-miR-181c-5p	11
hsa-miR-182-5p	251
hsa-miR-183-5p	28
hsa-miR-183-3p	2
hsa-miR-187-3p	1
hsa-miR-199b-5p	22
hsa-miR-203a-3p	3
hsa-miR-204-3p	4
hsa-miR-205-5p	62
hsa-miR-210-3p	140
hsa-miR-211-5p	1
hsa-miR-181a-3p	28
hsa-miR-214-5p	1
hsa-miR-214-3p	2
hsa-miR-215-5p	2
hsa-miR-216a-5p	1
hsa-miR-218-5p	2
hsa-miR-219a-1-3p	1
hsa-miR-221-3p	4850
hsa-miR-222-3p	223
hsa-miR-223-5p	18
hsa-miR-223-3p	4776
hsa-miR-224-5p	11
hsa-miR-200b-3p	1
hsa-let-7g-5p	653
hsa-let-7g-3p	7
hsa-let-7i-5p	8733
hsa-let-7i-3p	35
hsa-miR-1-3p	2
hsa-miR-15b-5p	216
hsa-miR-15b-3p	26
hsa-miR-23b-5p	2
hsa-miR-23b-3p	71
hsa-miR-27b-3p	175
hsa-miR-30b-5p	34
hsa-miR-122-5p	2162
hsa-miR-124-3p	2
hsa-miR-125b-5p	472
hsa-miR-125b-1-3p	2
hsa-miR-128-1-5p	1
hsa-miR-128-3p	108
hsa-miR-130a-3p	107
hsa-miR-132-3p	4
hsa-miR-133a-3p	7
hsa-miR-140-5p	426
hsa-miR-140-3p	137
hsa-miR-141-3p	17
hsa-miR-142-5p	1939
hsa-miR-142-3p	1988
hsa-miR-143-5p	102
hsa-miR-143-3p	1081
hsa-miR-144-5p	218
hsa-miR-144-3p	7400
hsa-miR-145-5p	55
hsa-miR-145-3p	3
hsa-miR-152-3p	76
hsa-miR-191-5p	723
hsa-miR-191-3p	4
hsa-miR-125a-5p	517
hsa-miR-125a-3p	2
hsa-miR-125b-2-3p	2
hsa-miR-126-5p	492
hsa-miR-126-3p	3169
hsa-miR-127-5p	1
hsa-miR-127-3p	26
hsa-miR-134-5p	52
hsa-miR-136-5p	9
hsa-miR-136-3p	2
hsa-miR-146a-5p	2211
hsa-miR-149-5p	1
hsa-miR-150-5p	441
hsa-miR-150-3p	8
hsa-miR-185-5p	8691
hsa-miR-185-3p	124
hsa-miR-186-5p	1775
hsa-miR-186-3p	4
hsa-miR-190a-5p	714
hsa-miR-193a-5p	265
hsa-miR-194-5p	119
hsa-miR-195-5p	1
hsa-miR-206	7
hsa-miR-320a-3p	4225
hsa-miR-200c-3p	4
hsa-miR-155-5p	25
hsa-miR-106b-5p	166
hsa-miR-106b-3p	423
hsa-miR-29c-5p	16
hsa-miR-29c-3p	1170
hsa-miR-30c-1-3p	5
hsa-miR-200a-3p	6
hsa-miR-101-2-5p	3
hsa-miR-299-3p	2
hsa-miR-301a-5p	1
hsa-miR-301a-3p	66
hsa-miR-99b-5p	72
hsa-miR-99b-3p	4
hsa-miR-296-5p	39
hsa-miR-130b-3p	29
hsa-miR-30e-5p	635
hsa-miR-30e-3p	7
hsa-miR-361-5p	88
hsa-miR-361-3p	81
hsa-miR-362-5p	24
hsa-miR-363-5p	2
hsa-miR-363-3p	1098
hsa-miR-376c-3p	3
hsa-miR-370-3p	14
hsa-miR-374a-5p	45
hsa-miR-375-3p	17
hsa-miR-377-3p	9
hsa-miR-378a-5p	17
hsa-miR-378a-3p	1164
hsa-miR-379-5p	8
hsa-miR-381-3p	31
hsa-miR-382-5p	18
hsa-miR-340-5p	26
hsa-miR-330-5p	2
hsa-miR-330-3p	1
hsa-miR-328-3p	210
hsa-miR-342-3p	562
hsa-miR-337-5p	5
hsa-miR-326	12
hsa-miR-151a-5p	7
hsa-miR-151a-3p	609
hsa-miR-148b-3p	1971
hsa-miR-331-5p	5
hsa-miR-331-3p	9
hsa-miR-324-5p	238
hsa-miR-324-3p	75
hsa-miR-338-3p	33
hsa-miR-339-5p	205
hsa-miR-339-3p	76
hsa-miR-335-5p	52
hsa-miR-345-5p	62
hsa-miR-196b-5p	65
hsa-miR-423-5p	10804
hsa-miR-423-3p	646
hsa-miR-424-5p	77
hsa-miR-424-3p	1
