gene	count
hsa-let-7a-5p	97
hsa-let-7a-3p	1
hsa-let-7b-5p	516
hsa-let-7c-5p	6
hsa-let-7d-5p	37
hsa-let-7d-3p	4
hsa-let-7f-5p	69
hsa-miR-15a-5p	20
hsa-miR-16-5p	2007
hsa-miR-16-1-3p	5
hsa-miR-17-5p	54
hsa-miR-17-3p	38
hsa-miR-18a-5p	11
hsa-miR-18a-3p	1
hsa-miR-19a-3p	77
hsa-miR-19b-3p	250
hsa-miR-20a-5p	53
hsa-miR-21-5p	126
hsa-miR-22-5p	1
hsa-miR-22-3p	607
hsa-miR-23a-5p	2
hsa-miR-23a-3p	65
hsa-miR-24-3p	41
hsa-miR-25-3p	262
hsa-miR-26a-5p	56
hsa-miR-26b-5p	52
hsa-miR-27a-3p	6
hsa-miR-28-3p	6
hsa-miR-29a-3p	30
hsa-miR-30a-5p	12
hsa-miR-32-5p	9
hsa-miR-32-3p	1
hsa-miR-33a-5p	9
hsa-miR-92a-3p	410
hsa-miR-93-5p	797
hsa-miR-93-3p	5
hsa-miR-96-5p	11
hsa-miR-98-5p	1
hsa-miR-99a-5p	16
hsa-miR-100-5p	1
hsa-miR-101-3p	54
hsa-miR-29b-3p	13
hsa-miR-103a-3p	208
hsa-miR-192-5p	81
hsa-miR-192-3p	1
hsa-miR-197-3p	2
hsa-miR-199a-5p	8
hsa-miR-148a-5p	6
hsa-miR-148a-3p	200
hsa-miR-30c-5p	5
hsa-miR-30d-5p	67
hsa-miR-30d-3p	1
hsa-miR-139-5p	1
hsa-miR-139-3p	9
hsa-miR-7-5p	65
hsa-miR-10b-5p	3
hsa-miR-10b-3p	3
hsa-miR-34a-5p	10
hsa-miR-181a-5p	159
hsa-miR-181a-2-3p	1
hsa-miR-181b-5p	10
hsa-miR-181c-5p	2
hsa-miR-182-5p	11
hsa-miR-183-5p	1
hsa-miR-187-3p	1
hsa-miR-199b-5p	1
hsa-miR-203a-3p	3
hsa-miR-205-5p	16
hsa-miR-210-3p	43
hsa-miR-181a-3p	11
hsa-miR-221-3p	741
hsa-miR-222-3p	11
hsa-miR-223-5p	2
hsa-miR-223-3p	391
hsa-miR-224-5p	2
hsa-miR-200b-3p	1
hsa-let-7g-5p	31
hsa-let-7i-5p	1179
hsa-let-7i-3p	3
hsa-miR-15b-5p	5
hsa-miR-15b-3p	4
hsa-miR-23b-3p	5
hsa-miR-27b-3p	9
hsa-miR-30b-5p	7
hsa-miR-122-5p	625
hsa-miR-125b-5p	44
hsa-miR-128-3p	5
hsa-miR-130a-3p	9
hsa-miR-132-5p	1
hsa-miR-133a-5p	1
hsa-miR-140-5p	68
hsa-miR-140-3p	26
hsa-miR-141-3p	7
hsa-miR-142-5p	729
hsa-miR-142-3p	3255
