gene	count
hsa-let-7a-5p	8
hsa-let-7b-5p	55
hsa-let-7d-5p	8
hsa-let-7d-3p	1
hsa-let-7f-5p	4
hsa-miR-15a-5p	1
hsa-miR-16-5p	584
hsa-miR-17-5p	4
hsa-miR-18a-5p	1
hsa-miR-19a-3p	5
hsa-miR-19b-3p	12
hsa-miR-20a-5p	4
hsa-miR-21-5p	22
hsa-miR-22-3p	59
hsa-miR-23a-3p	3
hsa-miR-25-3p	30
hsa-miR-26a-5p	8
hsa-miR-26b-5p	5
hsa-miR-27a-3p	1
hsa-miR-28-3p	2
hsa-miR-29a-3p	10
hsa-miR-92a-3p	137
hsa-miR-93-5p	144
hsa-miR-100-5p	1
hsa-miR-101-3p	11
hsa-miR-29b-3p	4
hsa-miR-103a-3p	2
hsa-miR-192-5p	1
hsa-miR-148a-3p	50
hsa-miR-30d-5p	6
hsa-miR-139-3p	1
hsa-miR-7-5p	5
hsa-miR-34a-5p	1
hsa-miR-181a-5p	57
hsa-miR-181b-5p	3
hsa-miR-182-5p	6
hsa-miR-183-5p	1
hsa-miR-203a-3p	5
hsa-miR-205-5p	3
hsa-miR-221-3p	29
hsa-miR-222-3p	3
hsa-miR-223-3p	41
hsa-let-7g-5p	6
hsa-let-7i-5p	122
hsa-miR-27b-3p	3
hsa-miR-122-5p	247
hsa-miR-125b-5p	1
hsa-miR-128-3p	1
hsa-miR-140-5p	5
hsa-miR-140-3p	3
hsa-miR-141-3p	3
hsa-miR-142-5p	10
hsa-miR-142-3p	40
hsa-miR-143-3p	8
hsa-miR-144-3p	23
hsa-miR-152-3p	3
hsa-miR-191-5p	2
hsa-miR-125a-5p	7
hsa-miR-126-5p	5
hsa-miR-126-3p	21
hsa-miR-127-3p	2
hsa-miR-134-5p	4
hsa-miR-146a-5p	23
hsa-miR-185-5p	41
hsa-miR-185-3p	3
hsa-miR-186-5p	55
hsa-miR-190a-5p	1
hsa-miR-193a-5p	5
hsa-miR-194-5p	1
hsa-miR-320a-3p	90
hsa-miR-200c-3p	1
hsa-miR-106b-5p	1
hsa-miR-106b-3p	2
hsa-miR-29c-5p	1
hsa-miR-29c-3p	25
hsa-miR-200a-3p	1
hsa-miR-99b-5p	1
hsa-miR-30e-5p	17
hsa-miR-361-3p	1
hsa-miR-363-3p	5
hsa-miR-370-3p	1
hsa-miR-375-3p	16
hsa-miR-378a-3p	52
hsa-miR-382-5p	2
hsa-miR-340-5p	1
hsa-miR-328-3p	1
hsa-miR-342-3p	8
hsa-miR-151a-3p	41
hsa-miR-148b-3p	16
hsa-miR-338-3p	1
hsa-miR-339-3p	2
hsa-miR-345-5p	1
hsa-miR-196b-5p	7
hsa-miR-423-5p	902
hsa-miR-423-3p	24
hsa-miR-425-5p	37
hsa-miR-20b-5p	2
hsa-miR-451a	133
hsa-miR-409-3p	1
hsa-miR-483-5p	22
hsa-miR-483-3p	1
hsa-miR-484	2
hsa-miR-486-5p	460
hsa-miR-491-5p	2
hsa-miR-193b-5p	1
hsa-miR-501-3p	3
hsa-miR-502-3p	1
hsa-miR-532-5p	1
hsa-miR-92b-5p	1
hsa-miR-576-3p	3
hsa-miR-584-5p	7
hsa-miR-629-5p	15
hsa-miR-421	1
hsa-miR-671-3p	1
hsa-miR-1224-5p	3
hsa-miR-320b	2
hsa-miR-320c	1
hsa-miR-769-5p	4
hsa-miR-744-5p	5
hsa-miR-208b-3p	1
hsa-miR-941	3
hsa-miR-1180-3p	12
hsa-miR-1228-5p	2
hsa-miR-1287-5p	1
hsa-miR-1299	2
hsa-miR-1277-5p	1
hsa-miR-1255b-5p	2
hsa-miR-664a-5p	1
hsa-miR-1306-5p	2
hsa-miR-1307-5p	2
hsa-miR-1307-3p	40
hsa-miR-1908-5p	8
hsa-miR-2110	2
hsa-miR-3135a	2
hsa-miR-3158-3p	5
hsa-miR-3065-5p	1
hsa-miR-3615	3
hsa-miR-3913-5p	2
