gene	count
hsa-let-7a-5p	865
hsa-let-7a-3p	1
hsa-let-7b-5p	1206
hsa-let-7c-5p	33
hsa-let-7d-5p	593
hsa-let-7d-3p	13
hsa-let-7e-5p	19
hsa-let-7e-3p	1
hsa-let-7f-5p	313
hsa-miR-15a-5p	252
hsa-miR-16-5p	90399
hsa-miR-16-1-3p	2
hsa-miR-17-5p	61
hsa-miR-17-3p	21
hsa-miR-18a-5p	24
hsa-miR-18a-3p	4
hsa-miR-19a-3p	136
hsa-miR-19b-3p	442
hsa-miR-20a-5p	197
hsa-miR-21-5p	1744
hsa-miR-22-5p	3
hsa-miR-22-3p	1400
hsa-miR-23a-3p	378
hsa-miR-24-3p	285
hsa-miR-25-5p	7
hsa-miR-25-3p	1446
hsa-miR-26a-5p	682
hsa-miR-26b-5p	542
hsa-miR-26b-3p	2
hsa-miR-27a-5p	1
hsa-miR-27a-3p	49
hsa-miR-28-3p	9
hsa-miR-29a-5p	1
hsa-miR-29a-3p	216
hsa-miR-30a-5p	116
hsa-miR-30a-3p	2
hsa-miR-32-5p	43
hsa-miR-33a-5p	17
hsa-miR-92a-3p	6809
hsa-miR-93-5p	2208
hsa-miR-93-3p	3
hsa-miR-95-5p	3
hsa-miR-95-3p	3
hsa-miR-96-5p	14
hsa-miR-98-5p	10
hsa-miR-99a-5p	32
hsa-miR-100-5p	10
hsa-miR-101-3p	446
hsa-miR-29b-3p	35
hsa-miR-103a-3p	519
hsa-miR-106a-5p	1
hsa-miR-107	2
hsa-miR-16-2-3p	1
hsa-miR-192-5p	314
hsa-miR-197-3p	12
hsa-miR-199a-5p	7
hsa-miR-129-5p	2
hsa-miR-148a-5p	6
hsa-miR-148a-3p	1369
hsa-miR-30c-5p	29
hsa-miR-30d-5p	399
hsa-miR-30d-3p	2
hsa-miR-139-5p	4
hsa-miR-139-3p	14
hsa-miR-7-5p	164
hsa-miR-10a-5p	35
hsa-miR-10a-3p	1
hsa-miR-10b-5p	82
hsa-miR-34a-5p	24
hsa-miR-181a-5p	573
hsa-miR-181a-2-3p	1
hsa-miR-181b-5p	56
hsa-miR-181c-5p	2
hsa-miR-182-5p	84
hsa-miR-183-5p	20
hsa-miR-203a-3p	4
hsa-miR-205-5p	18
hsa-miR-210-3p	21
hsa-miR-181a-3p	2
hsa-miR-214-3p	1
hsa-miR-215-5p	3
hsa-miR-216a-5p	13
hsa-miR-217-5p	4
hsa-miR-218-5p	6
hsa-miR-219a-5p	1
hsa-miR-221-3p	1120
hsa-miR-222-3p	66
hsa-miR-223-5p	4
hsa-miR-223-3p	692
hsa-miR-224-5p	4
hsa-let-7g-5p	248
hsa-let-7i-5p	4505
hsa-let-7i-3p	10
hsa-miR-15b-5p	160
hsa-miR-15b-3p	12
hsa-miR-23b-3p	35
hsa-miR-27b-3p	120
hsa-miR-30b-5p	6
hsa-miR-122-5p	2783
hsa-miR-125b-5p	90
hsa-miR-128-3p	62
hsa-miR-130a-3p	41
hsa-miR-135a-5p	1
hsa-miR-138-5p	1
hsa-miR-140-5p	43
hsa-miR-140-3p	63
hsa-miR-141-5p	1
hsa-miR-141-3p	20
hsa-miR-142-5p	451
hsa-miR-142-3p	663
hsa-miR-143-5p	33
hsa-miR-143-3p	1068
hsa-miR-144-5p	30
hsa-miR-144-3p	665
hsa-miR-145-5p	8
hsa-miR-152-3p	13
hsa-miR-153-3p	3
hsa-miR-191-5p	154
hsa-miR-191-3p	1
hsa-miR-9-5p	1
hsa-miR-125a-5p	235
hsa-miR-125a-3p	7
hsa-miR-125b-2-3p	1
hsa-miR-126-5p	558
hsa-miR-126-3p	2900
hsa-miR-127-3p	3
hsa-miR-134-5p	9
hsa-miR-136-5p	3
hsa-miR-136-3p	10
hsa-miR-146a-5p	460
hsa-miR-150-5p	107
hsa-miR-150-3p	1
hsa-miR-184	7
hsa-miR-185-5p	1416
hsa-miR-185-3p	14
hsa-miR-186-5p	420
hsa-miR-190a-5p	81
hsa-miR-193a-5p	62
hsa-miR-194-5p	91
hsa-miR-195-5p	1
hsa-miR-320a-3p	872
hsa-miR-200c-3p	4
hsa-miR-155-5p	22
hsa-miR-106b-5p	30
hsa-miR-106b-3p	99
hsa-miR-29c-5p	3
hsa-miR-29c-3p	795
hsa-miR-200a-3p	8
hsa-miR-34c-3p	2
hsa-miR-301a-3p	17
hsa-miR-99b-5p	16
hsa-miR-99b-3p	3
hsa-miR-296-5p	3
hsa-miR-130b-3p	6
hsa-miR-30e-5p	429
hsa-miR-30e-3p	1
hsa-miR-361-5p	87
hsa-miR-361-3p	14
hsa-miR-362-5p	2
hsa-miR-362-3p	1
hsa-miR-363-3p	459
hsa-miR-369-5p	2
hsa-miR-370-3p	5
hsa-miR-374a-5p	33
hsa-miR-374a-3p	1
hsa-miR-375-3p	21
hsa-miR-377-3p	1
hsa-miR-378a-3p	341
hsa-miR-381-3p	7
hsa-miR-382-5p	13
hsa-miR-340-5p	22
hsa-miR-328-3p	36
hsa-miR-342-3p	117
hsa-miR-337-5p	8
hsa-miR-151a-5p	5
hsa-miR-151a-3p	213
hsa-miR-148b-3p	486
hsa-miR-331-5p	2
hsa-miR-331-3p	1
hsa-miR-324-5p	20
hsa-miR-324-3p	15
hsa-miR-338-3p	5
hsa-miR-339-5p	24
hsa-miR-339-3p	21
hsa-miR-335-5p	14
hsa-miR-345-5p	8
hsa-miR-196b-5p	56
hsa-miR-423-5p	3535
hsa-miR-423-3p	109
hsa-miR-424-5p	35
hsa-miR-424-3p	1
hsa-miR-425-5p	796
hsa-miR-425-3p	14
hsa-miR-18b-5p	2
hsa-miR-20b-5p	52
hsa-miR-429	1
hsa-miR-431-5p	9
hsa-miR-451a	5374
hsa-miR-452-5p	1
hsa-miR-409-3p	6
hsa-miR-376b-3p	4
hsa-miR-483-5p	208
hsa-miR-483-3p	5
hsa-miR-484	294
hsa-miR-485-3p	1
hsa-miR-486-5p	19710
hsa-miR-486-3p	26
hsa-miR-491-5p	6
hsa-miR-146b-5p	14
hsa-miR-432-5p	3
hsa-miR-494-3p	1
hsa-miR-193b-5p	7
hsa-miR-497-5p	2
hsa-miR-181d-5p	1
hsa-miR-512-3p	3
hsa-miR-500a-3p	3
hsa-miR-501-5p	2
hsa-miR-501-3p	21
hsa-miR-502-3p	6
hsa-miR-503-5p	3
hsa-miR-503-3p	1
hsa-miR-505-3p	1
hsa-miR-509-3p	2
hsa-miR-532-5p	66
hsa-miR-532-3p	5
hsa-miR-545-3p	3
hsa-miR-551a	2
hsa-miR-92b-5p	11
hsa-miR-92b-3p	10
hsa-miR-561-5p	2
hsa-miR-574-3p	3
hsa-miR-576-5p	18
hsa-miR-576-3p	5
hsa-miR-582-3p	2
hsa-miR-584-5p	87
hsa-miR-589-5p	2
hsa-miR-589-3p	1
hsa-miR-550a-3p	2
hsa-miR-598-3p	2
hsa-miR-619-5p	1
hsa-miR-625-3p	10
hsa-miR-627-5p	5
hsa-miR-629-5p	52
hsa-miR-636	1
hsa-miR-642a-5p	1
hsa-miR-652-3p	8
hsa-miR-660-5p	40
hsa-miR-421	16
hsa-miR-542-5p	3
hsa-miR-542-3p	4
hsa-miR-671-5p	2
hsa-miR-671-3p	2
hsa-miR-1224-5p	1
hsa-miR-320b	7
hsa-miR-1296-5p	4
hsa-miR-454-3p	12
hsa-miR-769-5p	30
hsa-miR-769-3p	1
hsa-miR-874-5p	3
hsa-miR-874-3p	2
hsa-miR-190b-5p	10
hsa-miR-744-5p	34
hsa-miR-374b-5p	5
hsa-miR-301b-3p	1
hsa-miR-208b-3p	1
hsa-miR-941	3
hsa-miR-942-5p	13
hsa-miR-1179	1
hsa-miR-1180-3p	41
hsa-miR-1228-3p	1
hsa-miR-548e-5p	3
hsa-miR-548e-3p	1
hsa-miR-548j-5p	4
hsa-miR-1285-3p	4
hsa-miR-1287-5p	13
hsa-miR-548k	2
hsa-miR-1294	10
hsa-miR-1299	7
hsa-miR-1246	4
hsa-miR-1250-5p	1
hsa-miR-1277-5p	13
hsa-miR-1277-3p	4
hsa-miR-1292-5p	4
hsa-miR-1255b-5p	12
hsa-miR-664a-5p	7
hsa-miR-1306-5p	25
hsa-miR-1307-5p	7
hsa-miR-1307-3p	73
hsa-miR-1537-3p	1
hsa-miR-320d	5
hsa-miR-1908-5p	11
hsa-miR-1976	2
hsa-miR-2110	20
hsa-miR-2276-3p	1
hsa-miR-3127-5p	1
hsa-miR-3138	1
hsa-miR-3140-3p	1
hsa-miR-3074-3p	1
hsa-miR-3157-3p	1
hsa-miR-3158-3p	10
hsa-miR-3164	1
hsa-miR-3177-3p	1
hsa-miR-3065-5p	4
hsa-miR-3198	1
hsa-miR-378c	2
hsa-miR-2355-3p	3
hsa-miR-3605-3p	1
hsa-miR-3611	1
hsa-miR-3613-5p	48
hsa-miR-3615	54
hsa-miR-3661	1
hsa-miR-3679-5p	1
hsa-miR-3680-5p	1
hsa-miR-3913-5p	5
hsa-miR-3928-3p	2
hsa-miR-378g	1
hsa-miR-4429	1
hsa-miR-4489	3
hsa-miR-4526	2
hsa-miR-378i	1
hsa-miR-4659b-3p	1
hsa-miR-4669	3
hsa-miR-4685-3p	2
hsa-miR-4686	3
hsa-miR-4714-3p	1
