gene	count
hsa-let-7a-5p	283
hsa-let-7b-5p	1106
hsa-let-7c-5p	22
hsa-let-7d-5p	218
hsa-let-7d-3p	11
hsa-let-7e-5p	11
hsa-let-7f-5p	144
hsa-miR-15a-5p	61
hsa-miR-16-5p	11145
hsa-miR-16-1-3p	1
hsa-miR-17-5p	48
hsa-miR-17-3p	21
hsa-miR-18a-5p	13
hsa-miR-18a-3p	4
hsa-miR-19a-3p	75
hsa-miR-19b-1-5p	3
hsa-miR-19b-3p	307
hsa-miR-20a-5p	85
hsa-miR-21-5p	1010
hsa-miR-22-5p	10
hsa-miR-22-3p	1197
hsa-miR-23a-5p	1
hsa-miR-23a-3p	356
hsa-miR-24-3p	170
hsa-miR-25-5p	1
hsa-miR-25-3p	869
hsa-miR-26a-5p	595
hsa-miR-26b-5p	438
hsa-miR-26b-3p	4
hsa-miR-27a-3p	42
hsa-miR-28-3p	47
hsa-miR-29a-5p	2
hsa-miR-29a-3p	200
hsa-miR-30a-5p	89
hsa-miR-30a-3p	3
hsa-miR-32-5p	6
hsa-miR-33a-5p	9
hsa-miR-92a-1-5p	1
hsa-miR-92a-3p	2469
hsa-miR-93-5p	1685
hsa-miR-93-3p	3
hsa-miR-96-5p	24
hsa-miR-98-5p	6
hsa-miR-99a-5p	60
hsa-miR-100-5p	7
hsa-miR-101-3p	257
hsa-miR-29b-3p	49
hsa-miR-29b-2-5p	2
hsa-miR-103a-3p	726
hsa-miR-106a-5p	1
hsa-miR-107	3
hsa-miR-16-2-3p	2
hsa-miR-192-5p	249
hsa-miR-197-3p	15
hsa-miR-199a-5p	22
hsa-miR-129-5p	3
hsa-miR-148a-5p	2
hsa-miR-148a-3p	806
hsa-miR-30c-5p	13
hsa-miR-30c-2-3p	1
hsa-miR-30d-5p	264
hsa-miR-30d-3p	3
hsa-miR-139-3p	25
hsa-miR-7-5p	97
hsa-miR-10a-5p	17
hsa-miR-10b-5p	28
hsa-miR-10b-3p	9
hsa-miR-34a-5p	26
hsa-miR-181a-5p	736
hsa-miR-181a-2-3p	9
hsa-miR-181b-5p	48
hsa-miR-181c-5p	8
hsa-miR-181c-3p	2
hsa-miR-182-5p	96
hsa-miR-183-5p	13
hsa-miR-187-3p	1
hsa-miR-199b-5p	1
hsa-miR-203a-3p	2
hsa-miR-205-5p	27
hsa-miR-210-3p	17
hsa-miR-181a-3p	21
hsa-miR-214-5p	2
hsa-miR-215-5p	9
hsa-miR-218-5p	1
hsa-miR-221-5p	1
hsa-miR-221-3p	1684
hsa-miR-222-3p	54
hsa-miR-223-5p	9
hsa-miR-223-3p	1491
hsa-miR-224-5p	13
hsa-miR-200b-3p	2
hsa-let-7g-5p	221
hsa-let-7g-3p	1
hsa-let-7i-5p	4542
hsa-let-7i-3p	9
hsa-miR-1-3p	2
hsa-miR-15b-5p	43
hsa-miR-15b-3p	1
hsa-miR-23b-3p	16
hsa-miR-27b-3p	87
hsa-miR-30b-5p	4
hsa-miR-122-5p	4024
hsa-miR-125b-5p	129
hsa-miR-128-3p	34
hsa-miR-130a-3p	28
hsa-miR-132-5p	1
hsa-miR-132-3p	2
hsa-miR-140-5p	110
hsa-miR-140-3p	33
hsa-miR-141-5p	1
hsa-miR-141-3p	43
hsa-miR-142-5p	595
hsa-miR-142-3p	1308
hsa-miR-143-5p	11
hsa-miR-143-3p	291
hsa-miR-144-5p	20
hsa-miR-144-3p	1109
hsa-miR-145-5p	18
hsa-miR-152-3p	28
hsa-miR-191-5p	259
hsa-miR-125a-5p	167
hsa-miR-125a-3p	1
hsa-miR-125b-2-3p	1
hsa-miR-126-5p	254
hsa-miR-126-3p	2042
hsa-miR-127-5p	1
hsa-miR-127-3p	70
hsa-miR-134-5p	106
hsa-miR-136-5p	19
hsa-miR-136-3p	9
hsa-miR-146a-5p	1245
hsa-miR-150-5p	254
hsa-miR-185-5p	1219
hsa-miR-185-3p	34
hsa-miR-186-5p	393
hsa-miR-186-3p	1
hsa-miR-188-5p	1
hsa-miR-190a-5p	219
hsa-miR-193a-5p	122
hsa-miR-194-5p	61
hsa-miR-206	1
hsa-miR-320a-3p	884
hsa-miR-200c-3p	7
hsa-miR-155-5p	18
hsa-miR-106b-5p	20
hsa-miR-106b-3p	86
hsa-miR-29c-5p	9
hsa-miR-29c-3p	523
hsa-miR-30c-1-3p	1
hsa-miR-200a-3p	17
hsa-miR-34c-5p	3
hsa-miR-34c-3p	1
hsa-miR-301a-5p	2
hsa-miR-301a-3p	23
hsa-miR-99b-5p	27
hsa-miR-99b-3p	2
hsa-miR-296-5p	1
hsa-miR-130b-3p	5
hsa-miR-30e-5p	204
hsa-miR-30e-3p	2
hsa-miR-361-5p	37
hsa-miR-361-3p	43
hsa-miR-362-5p	10
hsa-miR-362-3p	2
hsa-miR-363-3p	392
hsa-miR-369-3p	2
hsa-miR-370-3p	33
hsa-miR-374a-5p	17
hsa-miR-374a-3p	3
hsa-miR-375-3p	80
hsa-miR-376a-3p	1
hsa-miR-377-5p	1
hsa-miR-377-3p	12
hsa-miR-378a-5p	5
hsa-miR-378a-3p	445
hsa-miR-379-5p	7
hsa-miR-381-3p	46
hsa-miR-382-5p	71
hsa-miR-340-5p	15
hsa-miR-330-5p	7
hsa-miR-330-3p	1
hsa-miR-328-3p	79
hsa-miR-342-3p	225
hsa-miR-337-5p	13
hsa-miR-151a-5p	4
hsa-miR-151a-3p	311
hsa-miR-148b-3p	664
hsa-miR-331-5p	2
hsa-miR-331-3p	4
hsa-miR-324-5p	45
hsa-miR-324-3p	10
hsa-miR-338-3p	23
hsa-miR-339-5p	60
hsa-miR-339-3p	31
hsa-miR-335-5p	18
hsa-miR-345-5p	9
hsa-miR-196b-5p	35
hsa-miR-423-5p	2673
hsa-miR-423-3p	225
hsa-miR-424-5p	17
hsa-miR-425-5p	672
hsa-miR-425-3p	15
hsa-miR-18b-5p	3
hsa-miR-18b-3p	1
hsa-miR-20b-5p	36
hsa-miR-450a-5p	1
hsa-miR-431-5p	50
hsa-miR-451a	3728
hsa-miR-409-5p	1
hsa-miR-409-3p	39
hsa-miR-376b-3p	8
hsa-miR-483-5p	169
hsa-miR-483-3p	5
hsa-miR-484	113
hsa-miR-485-5p	13
hsa-miR-485-3p	10
hsa-miR-486-5p	12130
hsa-miR-486-3p	15
hsa-miR-491-5p	10
hsa-miR-146b-5p	31
hsa-miR-146b-3p	12
hsa-miR-493-5p	4
hsa-miR-493-3p	6
hsa-miR-432-5p	32
hsa-miR-495-3p	1
hsa-miR-496	1
hsa-miR-193b-5p	5
hsa-miR-497-5p	1
hsa-miR-181d-5p	3
hsa-miR-499a-5p	1
hsa-miR-500a-3p	6
hsa-miR-501-3p	18
hsa-miR-502-3p	4
hsa-miR-505-3p	7
hsa-miR-532-5p	49
hsa-miR-532-3p	9
hsa-miR-92b-5p	8
hsa-miR-92b-3p	4
hsa-miR-574-3p	4
hsa-miR-576-5p	1
hsa-miR-576-3p	2
hsa-miR-584-5p	69
hsa-miR-548a-3p	4
hsa-miR-589-5p	7
hsa-miR-589-3p	2
hsa-miR-550a-3p	1
hsa-miR-590-3p	1
hsa-miR-598-3p	2
hsa-miR-625-5p	4
hsa-miR-625-3p	11
hsa-miR-627-5p	2
hsa-miR-629-5p	34
hsa-miR-33b-5p	3
hsa-miR-636	8
hsa-miR-642a-3p	1
hsa-miR-652-3p	13
hsa-miR-411-5p	1
hsa-miR-654-3p	4
hsa-miR-659-5p	4
hsa-miR-660-5p	49
hsa-miR-421	5
hsa-miR-542-5p	3
hsa-miR-542-3p	2
hsa-miR-758-3p	1
hsa-miR-671-5p	7
hsa-miR-671-3p	5
