gene	count
hsa-let-7a-5p	625
hsa-let-7b-5p	662
hsa-let-7b-3p	2
hsa-let-7c-5p	9
hsa-let-7d-5p	328
hsa-let-7d-3p	24
hsa-let-7e-5p	8
hsa-let-7f-5p	279
hsa-let-7f-1-3p	2
hsa-miR-15a-5p	372
hsa-miR-16-5p	67236
hsa-miR-17-5p	88
hsa-miR-17-3p	34
hsa-miR-18a-5p	46
hsa-miR-18a-3p	9
hsa-miR-19a-3p	187
hsa-miR-19b-1-5p	1
hsa-miR-19b-3p	632
hsa-miR-20a-5p	335
hsa-miR-21-5p	1807
hsa-miR-22-5p	18
hsa-miR-22-3p	2117
hsa-miR-23a-5p	3
hsa-miR-23a-3p	401
hsa-miR-24-3p	281
hsa-miR-25-5p	4
hsa-miR-25-3p	2007
hsa-miR-26a-5p	726
hsa-miR-26b-5p	606
hsa-miR-26b-3p	2
hsa-miR-27a-5p	8
hsa-miR-27a-3p	92
hsa-miR-28-5p	3
hsa-miR-28-3p	31
hsa-miR-29a-5p	4
hsa-miR-29a-3p	218
hsa-miR-30a-5p	65
hsa-miR-30a-3p	4
hsa-miR-32-5p	34
hsa-miR-33a-5p	14
hsa-miR-92a-3p	6164
hsa-miR-93-5p	2880
hsa-miR-93-3p	3
hsa-miR-95-3p	7
hsa-miR-96-5p	55
hsa-miR-98-5p	9
hsa-miR-99a-5p	20
hsa-miR-100-5p	3
hsa-miR-101-3p	536
hsa-miR-29b-3p	59
hsa-miR-29b-2-5p	2
hsa-miR-103a-3p	831
hsa-miR-106a-5p	1
hsa-miR-16-2-3p	2
hsa-miR-192-5p	265
hsa-miR-196a-5p	2
hsa-miR-197-3p	16
hsa-miR-199a-5p	30
hsa-miR-208a-3p	1
hsa-miR-148a-5p	5
hsa-miR-148a-3p	1583
hsa-miR-30c-5p	32
hsa-miR-30d-5p	291
hsa-miR-30d-3p	3
hsa-miR-139-5p	4
hsa-miR-139-3p	10
hsa-miR-7-5p	191
hsa-miR-10a-5p	15
hsa-miR-10b-5p	49
hsa-miR-10b-3p	7
hsa-miR-34a-5p	33
hsa-miR-181a-5p	476
hsa-miR-181a-2-3p	4
hsa-miR-181b-5p	54
hsa-miR-181c-5p	1
hsa-miR-181c-3p	1
hsa-miR-182-5p	165
hsa-miR-182-3p	1
hsa-miR-183-5p	36
hsa-miR-183-3p	1
hsa-miR-199b-5p	2
hsa-miR-203a-3p	6
hsa-miR-204-3p	3
