gene	count
hsa-let-7a-5p	310
hsa-let-7b-5p	847
hsa-let-7b-3p	1
hsa-let-7c-5p	29
hsa-let-7d-5p	219
hsa-let-7d-3p	15
hsa-let-7e-5p	4
hsa-let-7f-5p	173
hsa-miR-15a-5p	139
hsa-miR-16-5p	23426
hsa-miR-16-1-3p	3
hsa-miR-17-5p	48
hsa-miR-17-3p	13
hsa-miR-18a-5p	19
hsa-miR-18a-3p	7
hsa-miR-19a-3p	162
hsa-miR-19b-1-5p	1
hsa-miR-19b-3p	675
hsa-miR-20a-5p	207
hsa-miR-21-5p	781
hsa-miR-21-3p	1
hsa-miR-22-5p	4
hsa-miR-22-3p	1558
hsa-miR-23a-3p	355
hsa-miR-24-3p	262
hsa-miR-25-5p	3
hsa-miR-25-3p	894
hsa-miR-26a-5p	428
hsa-miR-26b-5p	430
hsa-miR-27a-5p	7
hsa-miR-27a-3p	63
hsa-miR-28-5p	3
hsa-miR-28-3p	15
hsa-miR-29a-5p	3
hsa-miR-29a-3p	168
hsa-miR-30a-5p	74
hsa-miR-30a-3p	2
hsa-miR-32-5p	5
hsa-miR-33a-5p	18
hsa-miR-92a-3p	2605
hsa-miR-93-5p	2435
hsa-miR-93-3p	5
hsa-miR-95-5p	3
hsa-miR-95-3p	3
hsa-miR-96-5p	13
hsa-miR-98-5p	4
hsa-miR-99a-5p	27
hsa-miR-99a-3p	2
hsa-miR-100-5p	1
hsa-miR-101-3p	292
hsa-miR-29b-3p	40
hsa-miR-29b-2-5p	4
hsa-miR-103a-3p	617
hsa-miR-107	1
hsa-miR-16-2-3p	1
hsa-miR-192-5p	159
hsa-miR-192-3p	1
hsa-miR-197-3p	20
hsa-miR-199a-5p	10
hsa-miR-208a-3p	1
hsa-miR-148a-5p	2
hsa-miR-148a-3p	479
hsa-miR-30c-5p	15
hsa-miR-30d-5p	235
hsa-miR-139-3p	8
hsa-miR-7-5p	178
hsa-miR-10a-5p	18
hsa-miR-10a-3p	1
hsa-miR-10b-5p	29
hsa-miR-34a-5p	32
hsa-miR-181a-5p	301
hsa-miR-181b-5p	10
hsa-miR-181c-5p	4
hsa-miR-182-5p	48
hsa-miR-183-5p	13
hsa-miR-199b-5p	5
hsa-miR-203a-3p	278
hsa-miR-204-5p	1
hsa-miR-204-3p	2
hsa-miR-205-5p	115
hsa-miR-210-3p	51
hsa-miR-181a-3p	5
hsa-miR-215-5p	4
hsa-miR-221-3p	1125
hsa-miR-222-3p	42
hsa-miR-223-5p	4
hsa-miR-223-3p	1387
hsa-miR-224-5p	4
hsa-miR-200b-3p	3
hsa-let-7g-5p	232
hsa-let-7i-5p	2371
hsa-let-7i-3p	5
hsa-miR-1-3p	4
hsa-miR-15b-5p	77
hsa-miR-15b-3p	4
hsa-miR-23b-3p	17
hsa-miR-27b-3p	58
hsa-miR-30b-5p	6
hsa-miR-122-5p	1450
hsa-miR-122-3p	3
hsa-miR-124-3p	1
hsa-miR-125b-5p	119
hsa-miR-125b-1-3p	1
hsa-miR-128-3p	36
hsa-miR-130a-3p	14
hsa-miR-132-5p	2
hsa-miR-132-3p	1
hsa-miR-133a-3p	1
hsa-miR-138-5p	1
hsa-miR-140-5p	109
hsa-miR-140-3p	45
hsa-miR-141-3p	36
hsa-miR-142-5p	649
hsa-miR-142-3p	537
hsa-miR-143-5p	26
hsa-miR-143-3p	288
hsa-miR-144-5p	18
hsa-miR-144-3p	1622
hsa-miR-145-5p	19
hsa-miR-145-3p	3
hsa-miR-152-3p	18
hsa-miR-191-5p	242
hsa-miR-191-3p	2
hsa-miR-9-5p	1
hsa-miR-9-3p	1
hsa-miR-125a-5p	144
hsa-miR-125a-3p	2
hsa-miR-126-5p	268
hsa-miR-126-3p	1251
hsa-miR-127-3p	11
hsa-miR-134-5p	22
hsa-miR-136-5p	4
