gene	count
hsa-let-7a-5p	6213
hsa-let-7a-3p	2
hsa-let-7b-5p	12883
hsa-let-7b-3p	3
hsa-let-7c-5p	136
hsa-let-7d-5p	2468
hsa-let-7d-3p	143
hsa-let-7e-5p	147
hsa-let-7f-5p	5414
hsa-let-7f-1-3p	1
hsa-miR-15a-5p	686
hsa-miR-15a-3p	1
hsa-miR-16-5p	245204
hsa-miR-16-1-3p	7
hsa-miR-17-5p	339
hsa-miR-17-3p	81
hsa-miR-18a-5p	152
hsa-miR-18a-3p	46
hsa-miR-19a-3p	499
hsa-miR-19b-1-5p	11
hsa-miR-19b-3p	1660
hsa-miR-20a-5p	1103
hsa-miR-20a-3p	1
hsa-miR-21-5p	5726
hsa-miR-21-3p	14
hsa-miR-22-5p	30
hsa-miR-22-3p	5203
hsa-miR-23a-5p	10
hsa-miR-23a-3p	1743
hsa-miR-24-3p	1908
hsa-miR-25-5p	27
hsa-miR-25-3p	6499
hsa-miR-26a-5p	9068
hsa-miR-26a-1-3p	7
hsa-miR-26b-5p	3191
hsa-miR-26b-3p	2
hsa-miR-27a-5p	8
hsa-miR-27a-3p	568
hsa-miR-28-5p	27
hsa-miR-28-3p	519
hsa-miR-29a-5p	7
hsa-miR-29a-3p	439
hsa-miR-30a-5p	131
hsa-miR-30a-3p	3
hsa-miR-32-5p	124
hsa-miR-33a-5p	91
hsa-miR-92a-1-5p	4
hsa-miR-92a-3p	31035
hsa-miR-93-5p	13956
hsa-miR-93-3p	42
hsa-miR-95-3p	9
hsa-miR-96-5p	43
hsa-miR-98-5p	142
hsa-miR-99a-5p	125
hsa-miR-99a-3p	1
hsa-miR-100-5p	14
hsa-miR-101-5p	1
hsa-miR-101-3p	1359
hsa-miR-29b-1-5p	1
hsa-miR-29b-3p	297
hsa-miR-29b-2-5p	7
hsa-miR-103a-2-5p	1
hsa-miR-103a-3p	9321
hsa-miR-106a-5p	12
hsa-miR-107	60
hsa-miR-16-2-3p	1
hsa-miR-192-5p	641
hsa-miR-192-3p	1
hsa-miR-196a-5p	1
hsa-miR-197-5p	1
hsa-miR-197-3p	194
hsa-miR-199a-5p	334
hsa-miR-129-5p	2
hsa-miR-148a-5p	38
hsa-miR-148a-3p	4632
hsa-miR-30c-5p	90
hsa-miR-30c-2-3p	2
hsa-miR-30d-5p	1864
hsa-miR-30d-3p	16
hsa-miR-139-5p	6
hsa-miR-139-3p	170
hsa-miR-7-5p	747
hsa-miR-7-1-3p	1
hsa-miR-10a-5p	134
hsa-miR-10a-3p	6
hsa-miR-10b-5p	95
hsa-miR-10b-3p	13
hsa-miR-34a-5p	45
hsa-miR-181a-5p	3707
hsa-miR-181a-2-3p	91
hsa-miR-181b-5p	232
hsa-miR-181c-5p	41
hsa-miR-181c-3p	9
hsa-miR-182-5p	205
hsa-miR-183-5p	67
hsa-miR-187-3p	3
hsa-miR-199b-5p	9
hsa-miR-203a-3p	4
hsa-miR-204-5p	7
hsa-miR-204-3p	4
hsa-miR-205-5p	32
hsa-miR-210-3p	93
hsa-miR-181a-3p	95
hsa-miR-214-5p	1
hsa-miR-215-5p	15
hsa-miR-216a-5p	1
hsa-miR-219a-1-3p	1
hsa-miR-221-5p	3
hsa-miR-221-3p	11546
hsa-miR-222-3p	221
hsa-miR-223-5p	31
hsa-miR-223-3p	15145
hsa-miR-224-5p	412
hsa-miR-200b-3p	10
hsa-let-7g-5p	2333
hsa-let-7g-3p	1
hsa-let-7i-5p	46116
hsa-let-7i-3p	37
hsa-miR-1-3p	36
hsa-miR-15b-5p	585
hsa-miR-15b-3p	41
hsa-miR-23b-5p	7
