gene	count
hsa-let-7a-5p	247
hsa-let-7b-5p	535
hsa-let-7c-5p	15
hsa-let-7d-5p	23
hsa-let-7d-3p	2
hsa-let-7e-5p	1
hsa-let-7f-5p	77
hsa-miR-15a-5p	24
hsa-miR-16-5p	9254
hsa-miR-17-5p	43
hsa-miR-17-3p	1
hsa-miR-18a-5p	10
hsa-miR-19a-3p	21
hsa-miR-19b-3p	94
hsa-miR-20a-5p	13
hsa-miR-21-5p	491
hsa-miR-22-5p	1
hsa-miR-22-3p	170
hsa-miR-23a-3p	47
hsa-miR-24-3p	45
hsa-miR-25-3p	963
hsa-miR-26a-5p	208
hsa-miR-26b-5p	74
hsa-miR-27a-5p	1
hsa-miR-27a-3p	14
hsa-miR-28-3p	34
hsa-miR-29a-5p	1
hsa-miR-29a-3p	87
hsa-miR-30a-5p	24
hsa-miR-32-5p	4
hsa-miR-33a-5p	5
hsa-miR-92a-3p	1910
hsa-miR-93-5p	1437
hsa-miR-93-3p	3
hsa-miR-96-5p	10
hsa-miR-98-5p	3
hsa-miR-99a-5p	6
hsa-miR-100-5p	3
hsa-miR-101-3p	108
hsa-miR-29b-3p	9
hsa-miR-103a-3p	258
hsa-miR-106a-5p	1
hsa-miR-192-5p	59
hsa-miR-196a-5p	2
hsa-miR-197-3p	16
hsa-miR-199a-5p	1
hsa-miR-148a-3p	627
hsa-miR-30c-5p	2
hsa-miR-30d-5p	152
hsa-miR-139-5p	1
hsa-miR-139-3p	34
hsa-miR-7-5p	612
hsa-miR-10a-5p	32
hsa-miR-10b-5p	17
hsa-miR-10b-3p	2
hsa-miR-34a-5p	6
hsa-miR-181a-5p	151
hsa-miR-181a-2-3p	4
hsa-miR-181b-5p	28
hsa-miR-182-5p	94
hsa-miR-183-5p	22
hsa-miR-203a-3p	5
hsa-miR-205-5p	13
hsa-miR-210-3p	2
hsa-miR-211-5p	1
hsa-miR-181a-3p	7
hsa-miR-215-5p	3
hsa-miR-221-3p	231
hsa-miR-222-3p	8
hsa-miR-223-5p	1
hsa-miR-223-3p	489
hsa-miR-224-5p	2
hsa-let-7g-5p	70
hsa-let-7i-5p	1883
hsa-let-7i-3p	2
hsa-miR-15b-5p	42
hsa-miR-15b-3p	2
hsa-miR-23b-3p	10
hsa-miR-27b-3p	15
