gene	count
hsa-let-7a-5p	686
hsa-let-7a-3p	1
hsa-let-7b-5p	1300
hsa-let-7c-5p	52
hsa-let-7d-5p	61
hsa-let-7d-3p	12
hsa-let-7e-5p	17
hsa-let-7f-5p	814
hsa-miR-15a-5p	53
hsa-miR-16-5p	35183
hsa-miR-17-5p	49
hsa-miR-17-3p	4
hsa-miR-18a-5p	11
hsa-miR-18a-3p	1
hsa-miR-19a-3p	34
hsa-miR-19b-3p	105
hsa-miR-20a-5p	71
hsa-miR-21-5p	709
hsa-miR-22-3p	187
hsa-miR-23a-3p	103
hsa-miR-24-3p	61
hsa-miR-25-3p	999
hsa-miR-26a-5p	708
hsa-miR-26b-5p	270
hsa-miR-26b-3p	1
hsa-miR-27a-5p	1
hsa-miR-27a-3p	33
hsa-miR-28-5p	2
hsa-miR-28-3p	26
hsa-miR-29a-3p	150
hsa-miR-30a-5p	66
hsa-miR-30a-3p	6
hsa-miR-32-5p	13
hsa-miR-33a-5p	12
hsa-miR-92a-3p	3311
hsa-miR-93-5p	1134
hsa-miR-96-5p	6
hsa-miR-98-5p	5
hsa-miR-99a-5p	28
hsa-miR-100-5p	7
hsa-miR-101-3p	213
hsa-miR-29b-3p	24
hsa-miR-103a-3p	730
hsa-miR-106a-5p	1
hsa-miR-107	1
hsa-miR-192-5p	60
hsa-miR-197-3p	12
hsa-miR-199a-5p	10
hsa-miR-148a-3p	595
hsa-miR-30c-5p	14
hsa-miR-30d-5p	350
hsa-miR-139-3p	7
hsa-miR-7-5p	99
hsa-miR-10a-5p	45
hsa-miR-10b-5p	35
hsa-miR-10b-3p	1
hsa-miR-34a-5p	2
hsa-miR-181a-5p	430
hsa-miR-181a-2-3p	13
hsa-miR-181b-5p	37
hsa-miR-181c-5p	3
hsa-miR-182-5p	94
hsa-miR-183-5p	72
hsa-miR-199b-5p	1
hsa-miR-203a-3p	159
hsa-miR-205-5p	104
hsa-miR-210-3p	3
hsa-miR-181a-3p	25
hsa-miR-215-5p	1
hsa-miR-216a-5p	1
hsa-miR-218-5p	6
hsa-miR-221-3p	222
hsa-miR-222-3p	10
hsa-miR-223-5p	2
hsa-miR-223-3p	810
