gene	count
hsa-let-7a-5p	75
hsa-let-7b-5p	177
hsa-let-7c-5p	6
hsa-let-7d-5p	4
hsa-let-7e-5p	1
hsa-let-7f-5p	27
hsa-miR-15a-5p	2
hsa-miR-16-5p	1148
hsa-miR-17-5p	8
hsa-miR-17-3p	1
hsa-miR-18a-3p	4
hsa-miR-19a-3p	5
hsa-miR-19b-3p	37
hsa-miR-20a-5p	2
hsa-miR-21-5p	69
hsa-miR-22-5p	3
hsa-miR-22-3p	138
hsa-miR-23a-5p	2
hsa-miR-23a-3p	1
hsa-miR-24-3p	17
hsa-miR-25-3p	151
hsa-miR-26a-5p	28
hsa-miR-26b-5p	32
hsa-miR-27a-3p	1
hsa-miR-28-3p	12
hsa-miR-29a-5p	3
hsa-miR-29a-3p	1
hsa-miR-92a-3p	223
hsa-miR-93-5p	333
hsa-miR-93-3p	3
hsa-miR-96-5p	2
hsa-miR-29b-3p	1
hsa-miR-103a-3p	19
hsa-miR-106a-5p	1
hsa-miR-192-5p	27
hsa-miR-197-3p	3
hsa-miR-199a-5p	2
hsa-miR-148a-3p	89
hsa-miR-30c-5p	1
hsa-miR-30d-5p	22
hsa-miR-139-3p	13
hsa-miR-7-5p	812
hsa-miR-10a-5p	23
hsa-miR-181a-5p	45
hsa-miR-182-5p	5
hsa-miR-183-5p	2
hsa-miR-203a-3p	5
hsa-miR-205-5p	7
hsa-miR-210-3p	2
hsa-miR-181a-3p	1
hsa-miR-215-5p	1
hsa-miR-219a-5p	1
hsa-miR-221-3p	122
hsa-miR-222-3p	1
hsa-miR-223-3p	57
hsa-let-7g-5p	6
hsa-let-7i-5p	298
hsa-let-7i-3p	3
hsa-miR-15b-5p	6
hsa-miR-27b-5p	1
hsa-miR-122-5p	1156
hsa-miR-124-3p	2
hsa-miR-125b-5p	19
hsa-miR-133a-3p	2
hsa-miR-140-5p	9
hsa-miR-140-3p	9
hsa-miR-141-3p	2
hsa-miR-142-5p	11
hsa-miR-142-3p	31
hsa-miR-143-5p	7
hsa-miR-143-3p	9
hsa-miR-144-3p	5
hsa-miR-152-3p	2
hsa-miR-191-5p	17
hsa-miR-9-5p	1063
hsa-miR-125a-5p	23
hsa-miR-126-5p	9
hsa-miR-126-3p	58
hsa-miR-127-3p	5
hsa-miR-134-5p	2
hsa-miR-146a-5p	136
hsa-miR-184	968
hsa-miR-185-5p	159
hsa-miR-185-3p	8
hsa-miR-186-5p	80
hsa-miR-190a-5p	2
hsa-miR-193a-5p	33
hsa-miR-194-5p	1
hsa-miR-320a-3p	567
hsa-miR-155-5p	2
hsa-miR-106b-3p	40
hsa-miR-29c-3p	21
hsa-miR-99b-5p	1
hsa-miR-296-5p	4
hsa-miR-30e-5p	6
hsa-miR-361-3p	12
hsa-miR-363-3p	7
hsa-miR-375-3p	7
hsa-miR-378a-5p	2
hsa-miR-378a-3p	231
hsa-miR-328-3p	6
hsa-miR-342-3p	18
hsa-miR-151a-3p	56
hsa-miR-148b-3p	15
hsa-miR-324-5p	1
hsa-miR-324-3p	7
hsa-miR-339-5p	5
hsa-miR-335-5p	3
hsa-miR-345-5p	2
hsa-miR-196b-5p	9
hsa-miR-423-5p	1607
hsa-miR-423-3p	40
hsa-miR-425-5p	97
hsa-miR-20b-5p	4
hsa-miR-429	1
hsa-miR-451a	112
hsa-miR-483-5p	280
hsa-miR-483-3p	1
hsa-miR-484	5
hsa-miR-486-5p	1061
hsa-miR-193b-5p	6
hsa-miR-497-5p	2
hsa-miR-505-3p	3
hsa-miR-532-5p	18
hsa-miR-532-3p	1
hsa-miR-92b-5p	5
hsa-miR-584-5p	19
hsa-miR-589-5p	5
hsa-miR-627-5p	2
hsa-miR-629-5p	8
hsa-miR-636	2
hsa-miR-652-3p	10
hsa-miR-671-5p	3
hsa-miR-1224-5p	1
hsa-miR-320b	5
hsa-miR-320c	5
hsa-miR-769-5p	13
hsa-miR-874-3p	2
hsa-miR-744-5p	5
hsa-miR-887-3p	2
hsa-miR-939-5p	2
hsa-miR-941	7
hsa-miR-942-5p	1
hsa-miR-1180-3p	57
hsa-miR-1228-5p	5
hsa-miR-1299	8
hsa-miR-1292-5p	8
hsa-miR-1255b-5p	7
hsa-miR-1306-5p	5
hsa-miR-1307-5p	2
hsa-miR-1307-3p	52
hsa-miR-1908-5p	13
hsa-miR-2110	7
hsa-miR-2276-3p	2
hsa-miR-3158-3p	7
hsa-miR-3187-3p	2
hsa-miR-3200-3p	1
hsa-miR-378c	3
hsa-miR-2355-3p	4
hsa-miR-3615	21
hsa-miR-3913-5p	5
hsa-miR-3150b-3p	2
hsa-miR-4429	3
hsa-miR-4526	1
hsa-miR-378i	5
