gene	count
hsa-let-7a-5p	717
hsa-let-7a-3p	4
hsa-let-7b-5p	2523
hsa-let-7b-3p	2
hsa-let-7c-5p	16
hsa-let-7d-5p	532
hsa-let-7d-3p	60
hsa-let-7e-5p	8
hsa-let-7f-5p	244
hsa-let-7f-1-3p	1
hsa-let-7f-2-3p	2
hsa-miR-15a-5p	428
hsa-miR-15a-3p	1
hsa-miR-16-5p	78480
hsa-miR-16-1-3p	11
hsa-miR-17-5p	153
hsa-miR-17-3p	46
hsa-miR-18a-5p	77
hsa-miR-18a-3p	27
hsa-miR-19a-3p	363
hsa-miR-19b-1-5p	1
hsa-miR-19b-3p	1482
hsa-miR-20a-5p	368
hsa-miR-21-5p	2436
hsa-miR-21-3p	11
hsa-miR-22-5p	20
hsa-miR-22-3p	2797
hsa-miR-23a-5p	5
hsa-miR-23a-3p	590
hsa-miR-24-3p	598
hsa-miR-25-5p	10
hsa-miR-25-3p	4443
hsa-miR-26a-5p	974
hsa-miR-26b-5p	715
hsa-miR-26b-3p	5
hsa-miR-27a-5p	1
hsa-miR-27a-3p	137
hsa-miR-28-5p	3
hsa-miR-28-3p	50
hsa-miR-29a-5p	4
hsa-miR-29a-3p	476
hsa-miR-30a-5p	142
hsa-miR-30a-3p	6
hsa-miR-32-5p	63
hsa-miR-33a-5p	28
hsa-miR-92a-3p	8327
hsa-miR-93-5p	5639
hsa-miR-93-3p	17
hsa-miR-95-5p	1
hsa-miR-95-3p	3
hsa-miR-96-5p	91
hsa-miR-98-5p	14
hsa-miR-99a-5p	37
hsa-miR-99a-3p	1
hsa-miR-100-5p	6
hsa-miR-101-5p	2
hsa-miR-101-3p	814
hsa-miR-29b-3p	124
hsa-miR-29b-2-5p	2
hsa-miR-103a-2-5p	1
hsa-miR-103a-3p	855
hsa-miR-106a-5p	3
hsa-miR-107	3
hsa-miR-16-2-3p	4
hsa-miR-192-5p	435
hsa-miR-197-3p	49
hsa-miR-199a-5p	47
hsa-miR-129-5p	3
hsa-miR-148a-5p	5
hsa-miR-148a-3p	2286
hsa-miR-30c-5p	67
hsa-miR-30d-5p	939
hsa-miR-30d-3p	8
hsa-miR-139-5p	3
hsa-miR-139-3p	22
hsa-miR-7-5p	383
hsa-miR-10a-5p	34
hsa-miR-10a-3p	1
hsa-miR-10b-5p	66
hsa-miR-10b-3p	6
hsa-miR-34a-5p	30
hsa-miR-181a-5p	548
hsa-miR-181a-2-3p	4
hsa-miR-181b-5p	48
hsa-miR-181c-5p	7
hsa-miR-182-5p	140
hsa-miR-183-5p	36
hsa-miR-183-3p	1
hsa-miR-199b-5p	3
hsa-miR-205-5p	74
hsa-miR-210-3p	82
hsa-miR-181a-3p	14
hsa-miR-214-5p	1
hsa-miR-214-3p	4
hsa-miR-215-5p	10
hsa-miR-216a-5p	1
hsa-miR-217-5p	3
hsa-miR-218-5p	1
hsa-miR-221-5p	1
hsa-miR-221-3p	2481
hsa-miR-222-3p	157
