gene	count
hsa-let-7a-5p	77
hsa-let-7b-5p	893
hsa-let-7c-5p	4
hsa-let-7d-5p	37
hsa-let-7d-3p	7
hsa-let-7e-5p	2
hsa-let-7f-5p	34
hsa-miR-15a-5p	12
hsa-miR-16-5p	1137
hsa-miR-17-5p	34
hsa-miR-17-3p	10
hsa-miR-18a-5p	12
hsa-miR-18a-3p	4
hsa-miR-19a-3p	27
hsa-miR-19b-1-5p	1
hsa-miR-19b-3p	234
hsa-miR-20a-5p	21
hsa-miR-21-5p	75
hsa-miR-22-5p	4
hsa-miR-22-3p	672
hsa-miR-23a-5p	4
hsa-miR-23a-3p	61
hsa-miR-24-3p	40
hsa-miR-25-5p	2
hsa-miR-25-3p	188
hsa-miR-26a-5p	42
hsa-miR-26b-5p	73
hsa-miR-27a-5p	1
hsa-miR-27a-3p	10
hsa-miR-28-3p	11
hsa-miR-29a-5p	1
hsa-miR-29a-3p	19
hsa-miR-30a-5p	13
hsa-miR-32-5p	2
hsa-miR-33a-5p	7
hsa-miR-92a-3p	347
hsa-miR-93-5p	686
hsa-miR-93-3p	10
hsa-miR-95-5p	1
hsa-miR-96-5p	3
hsa-miR-99a-5p	13
hsa-miR-100-5p	2
hsa-miR-101-3p	47
hsa-miR-29b-3p	13
hsa-miR-29b-2-5p	2
hsa-miR-103a-3p	112
hsa-miR-106a-5p	1
hsa-miR-192-5p	56
hsa-miR-197-3p	4
hsa-miR-199a-5p	9
hsa-miR-148a-5p	2
hsa-miR-148a-3p	189
hsa-miR-30c-5p	2
hsa-miR-30d-5p	41
hsa-miR-139-3p	16
hsa-miR-7-5p	48
hsa-miR-10b-5p	2
hsa-miR-10b-3p	3
hsa-miR-34a-5p	9
hsa-miR-181a-5p	119
hsa-miR-181a-2-3p	3
hsa-miR-181b-5p	16
hsa-miR-182-5p	3
hsa-miR-199b-5p	1
hsa-miR-203a-3p	1
hsa-miR-205-5p	4
hsa-miR-210-3p	29
hsa-miR-181a-3p	9
hsa-miR-215-5p	2
hsa-miR-221-3p	684
hsa-miR-222-3p	14
hsa-miR-223-5p	1
hsa-miR-223-3p	332
hsa-miR-200b-3p	1
hsa-let-7g-5p	32
hsa-let-7i-5p	1241
hsa-let-7i-3p	6
hsa-miR-15b-5p	24
hsa-miR-23b-3p	5
hsa-miR-27b-3p	8
hsa-miR-30b-5p	3
hsa-miR-122-5p	1332
hsa-miR-125b-5p	49
hsa-miR-130a-3p	7
hsa-miR-140-5p	67
hsa-miR-140-3p	12
hsa-miR-141-3p	5
hsa-miR-142-5p	157
hsa-miR-142-3p	263
hsa-miR-143-5p	14
hsa-miR-143-3p	26
hsa-miR-144-5p	20
hsa-miR-144-3p	546
hsa-miR-145-5p	9
hsa-miR-145-3p	1
hsa-miR-152-3p	8
hsa-miR-191-5p	50
hsa-miR-191-3p	1
hsa-miR-125a-5p	41
hsa-miR-125a-3p	1
hsa-miR-125b-2-3p	3
hsa-miR-126-5p	29
hsa-miR-126-3p	186
hsa-miR-127-3p	20
hsa-miR-134-5p	56
hsa-miR-136-5p	4
hsa-miR-136-3p	1
hsa-miR-146a-5p	286
hsa-miR-150-5p	55
hsa-miR-150-3p	3
hsa-miR-154-5p	2
hsa-miR-185-5p	1282
hsa-miR-185-3p	13
hsa-miR-186-5p	241
hsa-miR-186-3p	2
hsa-miR-190a-5p	63
hsa-miR-193a-5p	99
hsa-miR-194-5p	4
hsa-miR-206	1
hsa-miR-320a-3p	1932
hsa-miR-200c-3p	1
hsa-miR-155-5p	2
hsa-miR-106b-5p	13
hsa-miR-106b-3p	31
hsa-miR-29c-5p	5
hsa-miR-29c-3p	71
hsa-miR-200a-3p	1
hsa-miR-301a-3p	8
hsa-miR-99b-5p	9
hsa-miR-296-5p	1
hsa-miR-130b-3p	9
hsa-miR-30e-5p	43
hsa-miR-361-5p	5
hsa-miR-361-3p	6
hsa-miR-362-5p	10
hsa-miR-363-3p	51
hsa-miR-365a-5p	1
hsa-miR-370-3p	17
hsa-miR-374a-5p	2
hsa-miR-375-3p	22
hsa-miR-377-3p	1
hsa-miR-378a-5p	3
hsa-miR-378a-3p	311
hsa-miR-379-5p	1
hsa-miR-381-3p	3
hsa-miR-382-5p	29
hsa-miR-328-3p	20
hsa-miR-342-3p	29
hsa-miR-337-5p	5
hsa-miR-151a-5p	7
hsa-miR-151a-3p	63
hsa-miR-148b-3p	211
hsa-miR-331-3p	2
hsa-miR-324-5p	33
hsa-miR-324-3p	9
hsa-miR-338-3p	8
hsa-miR-339-5p	34
hsa-miR-339-3p	16
hsa-miR-335-5p	2
hsa-miR-345-5p	1
hsa-miR-196b-5p	10
hsa-miR-423-5p	2969
hsa-miR-423-3p	49
hsa-miR-424-5p	3
hsa-miR-425-5p	175
hsa-miR-425-3p	3
hsa-miR-20b-5p	5
hsa-miR-431-5p	3
hsa-miR-451a	598
hsa-miR-409-3p	5
hsa-miR-483-5p	98
hsa-miR-483-3p	1
hsa-miR-484	74
hsa-miR-485-5p	1
hsa-miR-485-3p	3
hsa-miR-486-5p	2972
hsa-miR-486-3p	13
hsa-miR-491-5p	7
hsa-miR-146b-5p	2
hsa-miR-146b-3p	1
hsa-miR-493-3p	2
hsa-miR-432-5p	6
hsa-miR-193b-5p	6
hsa-miR-193b-3p	1
hsa-miR-497-5p	4
hsa-miR-181d-5p	2
hsa-miR-518c-3p	1
hsa-miR-499a-5p	2
hsa-miR-501-3p	6
hsa-miR-502-3p	2
hsa-miR-505-3p	2
