gene	count
hsa-let-7a-5p	6589
hsa-let-7a-3p	11
hsa-let-7b-5p	5187
hsa-let-7b-3p	4
hsa-let-7c-5p	70
hsa-let-7c-3p	1
hsa-let-7d-5p	2098
hsa-let-7d-3p	148
hsa-let-7e-5p	46
hsa-let-7e-3p	1
hsa-let-7f-5p	3514
hsa-let-7f-1-3p	2
hsa-let-7f-2-3p	1
hsa-miR-15a-5p	1775
hsa-miR-16-5p	368187
hsa-miR-16-1-3p	8
hsa-miR-17-5p	362
hsa-miR-17-3p	32
hsa-miR-18a-5p	147
hsa-miR-18a-3p	18
hsa-miR-19a-3p	627
hsa-miR-19b-1-5p	2
hsa-miR-19b-3p	2063
hsa-miR-20a-5p	1855
hsa-miR-21-5p	10423
hsa-miR-21-3p	8
hsa-miR-22-5p	45
hsa-miR-22-3p	4487
hsa-miR-23a-5p	8
hsa-miR-23a-3p	2257
hsa-miR-24-3p	1495
hsa-miR-25-5p	29
hsa-miR-25-3p	11597
hsa-miR-26a-5p	4453
hsa-miR-26b-5p	3101
hsa-miR-26b-3p	5
hsa-miR-27a-5p	3
hsa-miR-27a-3p	536
hsa-miR-28-3p	153
hsa-miR-29a-5p	5
hsa-miR-29a-3p	1541
hsa-miR-30a-5p	560
hsa-miR-30a-3p	22
hsa-miR-31-5p	4
hsa-miR-32-5p	219
hsa-miR-32-3p	1
hsa-miR-33a-5p	52
hsa-miR-92a-3p	32757
hsa-miR-93-5p	14748
hsa-miR-93-3p	31
hsa-miR-95-5p	3
hsa-miR-95-3p	18
hsa-miR-96-5p	97
hsa-miR-98-5p	83
hsa-miR-99a-5p	185
hsa-miR-99a-3p	8
hsa-miR-100-5p	47
hsa-miR-101-3p	2083
hsa-miR-29b-3p	357
hsa-miR-29b-2-5p	5
hsa-miR-103a-3p	3814
hsa-miR-103a-1-5p	1
hsa-miR-107	15
hsa-miR-16-2-3p	8
hsa-miR-192-5p	1229
hsa-miR-197-5p	1
hsa-miR-197-3p	147
hsa-miR-199a-5p	58
hsa-miR-129-5p	1
hsa-miR-148a-5p	15
hsa-miR-148a-3p	5370
hsa-miR-30c-5p	196
hsa-miR-30c-2-3p	3
hsa-miR-30d-5p	2448
hsa-miR-30d-3p	6
