gene	count
hsa-let-7a-5p	260
hsa-let-7b-5p	962
hsa-let-7b-3p	2
hsa-let-7c-5p	15
hsa-let-7d-5p	152
hsa-let-7d-3p	12
hsa-let-7e-5p	3
hsa-let-7f-5p	110
hsa-miR-15a-5p	93
hsa-miR-16-5p	8879
hsa-miR-16-1-3p	10
hsa-miR-17-5p	34
hsa-miR-17-3p	29
hsa-miR-18a-5p	21
hsa-miR-18a-3p	9
hsa-miR-19a-3p	76
hsa-miR-19b-1-5p	1
hsa-miR-19b-3p	430
hsa-miR-20a-5p	75
hsa-miR-21-5p	410
hsa-miR-21-3p	1
hsa-miR-22-5p	6
hsa-miR-22-3p	1346
hsa-miR-23a-5p	6
hsa-miR-23a-3p	193
hsa-miR-24-3p	135
hsa-miR-25-5p	3
hsa-miR-25-3p	638
hsa-miR-26a-5p	284
hsa-miR-26b-5p	323
hsa-miR-27a-3p	38
hsa-miR-28-5p	1
hsa-miR-28-3p	26
hsa-miR-29a-5p	3
hsa-miR-29a-3p	101
hsa-miR-30a-5p	46
hsa-miR-32-5p	1
hsa-miR-33a-5p	17
hsa-miR-92a-3p	1420
hsa-miR-93-5p	1731
hsa-miR-93-3p	9
hsa-miR-95-5p	2
hsa-miR-95-3p	4
hsa-miR-96-5p	22
hsa-miR-98-5p	1
hsa-miR-99a-5p	21
hsa-miR-100-5p	5
hsa-miR-101-3p	198
hsa-miR-29b-3p	24
hsa-miR-29b-2-5p	5
hsa-miR-103a-3p	502
hsa-miR-107	1
hsa-miR-16-2-3p	2
hsa-miR-192-5p	181
hsa-miR-197-3p	13
hsa-miR-199a-5p	25
hsa-miR-148a-5p	4
hsa-miR-148a-3p	607
hsa-miR-30c-5p	12
hsa-miR-30d-5p	195
hsa-miR-30d-3p	1
hsa-miR-139-5p	2
hsa-miR-139-3p	15
hsa-miR-7-5p	114
hsa-miR-10a-5p	7
hsa-miR-10b-5p	13
hsa-miR-10b-3p	4
hsa-miR-34a-5p	17
hsa-miR-181a-5p	191
hsa-miR-181a-2-3p	1
hsa-miR-181b-5p	12
hsa-miR-181c-5p	1
hsa-miR-181c-3p	1
hsa-miR-182-5p	41
hsa-miR-183-5p	3
hsa-miR-187-3p	1
hsa-miR-199b-5p	6
hsa-miR-203a-3p	2
hsa-miR-204-3p	2
hsa-miR-205-5p	25
hsa-miR-210-3p	65
hsa-miR-181a-3p	10
hsa-miR-214-5p	1
hsa-miR-214-3p	4
hsa-miR-215-5p	2
hsa-miR-216a-5p	1
hsa-miR-221-3p	2281
hsa-miR-222-3p	95
hsa-miR-223-5p	6
hsa-miR-223-3p	1536
hsa-miR-224-5p	5
hsa-miR-200b-3p	1
hsa-let-7g-5p	127
hsa-let-7g-3p	1
hsa-let-7i-5p	2745
hsa-let-7i-3p	10
hsa-miR-15b-5p	46
hsa-miR-15b-3p	10
hsa-miR-23b-3p	20
hsa-miR-27b-3p	40
hsa-miR-30b-5p	5
hsa-miR-122-5p	2130
hsa-miR-125b-5p	82
hsa-miR-128-3p	30
hsa-miR-130a-3p	20
hsa-miR-132-5p	1
hsa-miR-133a-5p	1
hsa-miR-133a-3p	2
hsa-miR-138-5p	1
hsa-miR-140-5p	82
hsa-miR-140-3p	32
hsa-miR-141-5p	1
hsa-miR-141-3p	6
hsa-miR-142-5p	437
hsa-miR-142-3p	651
hsa-miR-143-5p	22
hsa-miR-143-3p	98
hsa-miR-144-5p	130
hsa-miR-144-3p	1389
hsa-miR-145-5p	10
hsa-miR-145-3p	2
hsa-miR-152-3p	29
hsa-miR-191-5p	149
hsa-miR-125a-5p	79
hsa-miR-125b-2-3p	7
hsa-miR-126-5p	151
hsa-miR-126-3p	985
hsa-miR-127-5p	1
hsa-miR-127-3p	28
hsa-miR-134-5p	54
hsa-miR-136-5p	11
hsa-miR-136-3p	4
hsa-miR-146a-5p	582
hsa-miR-149-5p	2
hsa-miR-150-5p	115
hsa-miR-150-3p	3
hsa-miR-154-5p	2
hsa-miR-184	1
hsa-miR-185-5p	2145
hsa-miR-185-3p	30
hsa-miR-186-5p	505
hsa-miR-186-3p	3
hsa-miR-190a-5p	207
hsa-miR-193a-5p	98
hsa-miR-194-5p	43
hsa-miR-320a-3p	2096
hsa-miR-200c-3p	1
hsa-miR-155-5p	13
hsa-miR-106b-5p	29
hsa-miR-106b-3p	79
hsa-miR-29c-5p	7
hsa-miR-29c-3p	306
hsa-miR-301a-3p	17
hsa-miR-99b-5p	6
hsa-miR-296-5p	5
hsa-miR-296-3p	3
hsa-miR-130b-5p	1
hsa-miR-130b-3p	9
hsa-miR-30e-5p	148
hsa-miR-30e-3p	3
hsa-miR-361-5p	13
hsa-miR-361-3p	15
hsa-miR-362-5p	7
hsa-miR-363-3p	204
hsa-miR-370-3p	16
hsa-miR-374a-5p	9
hsa-miR-375-3p	11
hsa-miR-377-3p	6
hsa-miR-378a-5p	3
hsa-miR-378a-3p	714
hsa-miR-381-3p	12
hsa-miR-382-5p	17
hsa-miR-340-5p	8
hsa-miR-328-3p	30
hsa-miR-342-3p	48
hsa-miR-337-5p	1
hsa-miR-151a-5p	12
hsa-miR-151a-3p	161
hsa-miR-148b-3p	572
hsa-miR-331-5p	1
hsa-miR-331-3p	5
hsa-miR-324-5p	42
hsa-miR-324-3p	28
hsa-miR-338-3p	18
hsa-miR-339-5p	56
hsa-miR-339-3p	47
hsa-miR-335-5p	21
hsa-miR-345-5p	20
hsa-miR-196b-5p	29
hsa-miR-423-5p	2897
hsa-miR-423-3p	142
hsa-miR-424-5p	13
hsa-miR-425-5p	573
hsa-miR-425-3p	17
hsa-miR-18b-5p	2
hsa-miR-20b-5p	31
hsa-miR-449a	2
hsa-miR-431-5p	12
hsa-miR-329-3p	1
hsa-miR-451a	4177
hsa-miR-452-5p	2
hsa-miR-409-3p	8
hsa-miR-376b-3p	2
hsa-miR-483-5p	204
hsa-miR-484	138
hsa-miR-485-5p	2
hsa-miR-485-3p	6
hsa-miR-486-5p	7011
hsa-miR-486-3p	25
hsa-miR-488-3p	1
hsa-miR-490-3p	2
hsa-miR-491-5p	13
hsa-miR-511-5p	1
hsa-miR-146b-5p	11
hsa-miR-146b-3p	4
hsa-miR-493-3p	1
hsa-miR-432-5p	12
hsa-miR-193b-5p	5
hsa-miR-497-5p	1
hsa-miR-181d-5p	4
hsa-miR-520a-3p	1
hsa-miR-518f-3p	1
hsa-miR-516a-5p	1
hsa-miR-499a-5p	2
hsa-miR-500a-3p	1
hsa-miR-501-3p	19
hsa-miR-502-3p	6
hsa-miR-503-5p	1
hsa-miR-505-5p	3
hsa-miR-505-3p	3
hsa-miR-532-5p	52
hsa-miR-532-3p	13
hsa-miR-455-5p	7
hsa-miR-545-3p	2
hsa-miR-551a	1
hsa-miR-92b-5p	5
hsa-miR-92b-3p	1
hsa-miR-561-5p	1
hsa-miR-574-3p	3
hsa-miR-576-5p	2
hsa-miR-576-3p	2
hsa-miR-581	1
hsa-miR-582-3p	2
hsa-miR-584-5p	35
hsa-miR-548a-3p	2
hsa-miR-550a-3p	4
hsa-miR-615-3p	1
hsa-miR-624-5p	1
hsa-miR-625-3p	2
hsa-miR-627-5p	8
hsa-miR-628-5p	1
hsa-miR-629-5p	30
hsa-miR-33b-5p	9
hsa-miR-636	3
hsa-miR-651-5p	1
hsa-miR-652-3p	12
hsa-miR-654-3p	3
hsa-miR-660-5p	55
hsa-miR-421	2
hsa-miR-542-5p	2
hsa-miR-542-3p	1
hsa-miR-758-3p	1
hsa-miR-671-5p	11
hsa-miR-320b	27
hsa-miR-1296-5p	2
hsa-miR-1301-3p	3
hsa-miR-454-5p	1
hsa-miR-454-3p	3
hsa-miR-769-5p	90
hsa-miR-769-3p	5
hsa-miR-1298-5p	1
hsa-miR-874-3p	7
hsa-miR-147b-3p	2
hsa-miR-190b-5p	8
hsa-miR-744-5p	165
hsa-miR-885-3p	2
hsa-miR-887-3p	4
hsa-miR-665	1
hsa-miR-873-5p	1
hsa-miR-374b-5p	1
hsa-miR-301b-3p	3
hsa-miR-208b-3p	1
hsa-miR-941	14
hsa-miR-942-5p	1
hsa-miR-1179	3
hsa-miR-1180-3p	49
hsa-miR-1228-3p	4
hsa-miR-548e-5p	2
hsa-miR-548e-3p	2
hsa-miR-548j-5p	8
hsa-miR-548j-3p	2
hsa-miR-1285-3p	1
hsa-miR-1287-5p	19
hsa-miR-548k	1
hsa-miR-1294	3
hsa-miR-1299	3
hsa-miR-1246	1
hsa-miR-1247-5p	1
hsa-miR-1249-3p	1
hsa-miR-548n	1
hsa-miR-1270	1
hsa-miR-1277-5p	6
hsa-miR-1277-3p	3
hsa-miR-1292-5p	3
hsa-miR-1255b-5p	11
hsa-miR-664a-5p	4
hsa-miR-1306-5p	11
hsa-miR-1307-5p	34
hsa-miR-1307-3p	136
hsa-miR-1537-3p	3
hsa-miR-320d	4
hsa-miR-1908-5p	12
hsa-miR-1976	1
hsa-miR-2110	29
hsa-miR-548q	1
hsa-miR-2276-3p	2
hsa-miR-2278	1
hsa-miR-3124-5p	1
hsa-miR-378b	1
hsa-miR-3135a	1
hsa-miR-3136-5p	1
hsa-miR-3139	2
hsa-miR-1273c	5
hsa-miR-3150a-3p	1
hsa-miR-3158-3p	8
hsa-miR-323b-3p	1
hsa-miR-3177-3p	2
hsa-miR-3180-3p	1
hsa-miR-3065-5p	2
hsa-miR-3187-3p	1
hsa-miR-3192-5p	2
hsa-miR-3198	2
hsa-miR-378c	3
hsa-miR-2355-3p	1
hsa-miR-3605-3p	1
hsa-miR-3613-5p	6
hsa-miR-3615	33
hsa-miR-3667-5p	3
hsa-miR-3688-3p	6
hsa-miR-3913-5p	8
hsa-miR-3928-3p	3
hsa-miR-378e	2
hsa-miR-378f	2
hsa-miR-378g	4
hsa-miR-4488	1
hsa-miR-4526	3
hsa-miR-378i	12
hsa-miR-219b-5p	1
hsa-miR-4677-3p	1
hsa-miR-1343-3p	2
hsa-miR-4707-3p	3
hsa-miR-4722-5p	1
