gene	count
hsa-let-7a-5p	7195
hsa-let-7a-3p	8
hsa-let-7b-5p	18073
hsa-let-7b-3p	10
hsa-let-7c-5p	163
hsa-let-7d-5p	1520
hsa-let-7d-3p	753
hsa-let-7e-5p	166
hsa-let-7f-5p	6629
hsa-let-7f-2-3p	1
hsa-miR-15a-5p	1557
hsa-miR-15a-3p	5
hsa-miR-16-5p	397542
hsa-miR-16-1-3p	6
hsa-miR-17-5p	1287
hsa-miR-17-3p	135
hsa-miR-18a-5p	625
hsa-miR-18a-3p	168
hsa-miR-19a-3p	1414
hsa-miR-19b-1-5p	14
hsa-miR-19b-3p	5079
hsa-miR-20a-5p	3962
hsa-miR-20a-3p	2
hsa-miR-21-5p	15523
hsa-miR-21-3p	29
hsa-miR-22-5p	107
hsa-miR-22-3p	8888
hsa-miR-23a-5p	27
hsa-miR-23a-3p	4177
hsa-miR-24-3p	5491
hsa-miR-25-5p	62
hsa-miR-25-3p	28026
hsa-miR-26a-5p	15880
hsa-miR-26a-1-3p	32
hsa-miR-26b-5p	4584
hsa-miR-26b-3p	23
hsa-miR-27a-5p	10
hsa-miR-27a-3p	1482
hsa-miR-28-5p	45
hsa-miR-28-3p	1957
hsa-miR-29a-5p	5
hsa-miR-29a-3p	1437
hsa-miR-30a-5p	591
hsa-miR-30a-3p	34
hsa-miR-31-5p	3
hsa-miR-32-5p	318
hsa-miR-32-3p	1
hsa-miR-33a-5p	129
hsa-miR-33a-3p	1
hsa-miR-92a-1-5p	2
hsa-miR-92a-3p	95616
hsa-miR-93-5p	47561
hsa-miR-93-3p	237
hsa-miR-95-3p	13
hsa-miR-96-5p	200
hsa-miR-98-5p	189
hsa-miR-98-3p	1
hsa-miR-99a-5p	200
hsa-miR-99a-3p	2
hsa-miR-100-5p	60
hsa-miR-101-5p	1
hsa-miR-101-3p	3434
hsa-miR-29b-1-5p	4
hsa-miR-29b-3p	595
hsa-miR-29b-2-5p	14
hsa-miR-103a-2-5p	3
hsa-miR-103a-3p	25430
hsa-miR-106a-5p	21
hsa-miR-107	154
hsa-miR-16-2-3p	15
hsa-miR-192-5p	1564
hsa-miR-192-3p	2
hsa-miR-196a-5p	2
hsa-miR-197-5p	2
hsa-miR-197-3p	653
hsa-miR-199a-5p	620
hsa-miR-129-5p	10
hsa-miR-148a-5p	34
hsa-miR-148a-3p	8288
hsa-miR-30c-5p	389
